0,1,2,3,cbsa_code,year,PM2.5_sample_duration,Ozone_sample_duration,Carbon_monoxide_sample_duration,Sulfur_dioxide_sample_duration,cluster
-23.06427568392014,79.42961999710957,108.03738363221893,-104.15754118955658,10420.0,2005.0,1.0,0.0,0.0,0.0,3
-19.13573982839052,53.27522320863922,124.57636117022746,-107.84380518497925,10420.0,2006.0,1.0,0.0,0.0,0.0,3
-44.24331349068914,49.144450285352576,76.17072696836112,-71.07988894979626,10420.0,2007.0,1.0,0.0,0.0,0.0,3
-40.0590295724433,31.363182923899092,74.06696576115671,-70.11893585487445,10420.0,2008.0,1.0,0.0,0.0,0.0,3
133.58076794647403,-28.575422184182234,-8.581181969728425,-21.703262548117433,10420.0,2009.0,1.0,0.0,0.0,0.0,4
172.01761569764267,8.497554651995584,-32.91739426542343,-13.948082115260474,10420.0,2010.0,1.0,0.0,0.0,0.0,4
8.191996369491589,12.683822657621613,10.931950115910366,-30.603742398295164,10420.0,2011.0,1.0,0.0,0.0,0.0,1
85.92466172046545,33.525263613091575,55.491542134809784,-49.589914873969654,10420.0,2012.0,0.0,0.0,0.0,0.0,1
-18.69447281673873,12.066900502043936,84.79762346625186,-66.98246472792427,10420.0,2013.0,1.0,0.0,0.0,0.0,3
-30.726209457967514,-28.31678261419609,70.64019824234809,-57.330399261618474,10420.0,2014.0,1.0,0.0,0.0,0.0,3
203.18857595647782,1.2899172516745978,-39.793932257477195,-4.11998357689593,10420.0,2015.0,1.0,0.0,0.0,0.0,4
103.59991061641786,-26.9652034705263,-41.0953432114324,-1.20917207664982,10420.0,2016.0,1.0,0.0,0.0,0.0,1
22.80685421409575,-44.38896532468004,-39.18617569025468,-1.6369743924688231,10420.0,2017.0,1.0,0.0,0.0,0.0,1
43.74517841730293,-35.230588184393895,-39.944269129961604,-2.207485638257782,10420.0,2018.0,1.0,0.0,0.0,0.0,1
27.21629056155876,-26.250246197609176,-39.66446904495299,-2.3199867988997274,10420.0,2019.0,1.0,0.0,0.0,0.0,1
96.22734650213927,-20.788473655511392,118.57619784107392,53.74368171637459,10500.0,2005.0,0.0,0.0,0.0,0.0,3
96.43492793656307,-27.854506811564374,119.10753518671834,53.98909912090854,10500.0,2006.0,0.0,0.0,0.0,0.0,3
89.7433928287539,53.121150441006165,117.229175869231,56.02647552728771,10500.0,2007.0,0.0,0.0,0.0,0.0,3
198.85942409281716,-9.072451390253818,27.384106389938363,23.21203982855478,10500.0,2008.0,0.0,0.0,0.0,0.0,4
247.39060976806186,-10.823654049475499,-15.361305056198221,6.23890596689626,10500.0,2009.0,0.0,0.0,0.0,0.0,4
267.5381365339693,23.271002537417488,-36.32139607630396,2.310923576766319,10500.0,2010.0,0.0,0.0,0.0,0.0,4
273.84697407453615,-15.82229731071403,-38.24105596581472,-2.750222569127911,10500.0,2011.0,0.0,0.0,0.0,0.0,4
272.05114551202314,-10.090834773600037,-36.84361109978602,2.424631391356022,10500.0,2012.0,0.0,0.0,0.0,0.0,4
275.52452799224045,-7.835380595712429,-40.462729744878665,0.3510815298299882,10500.0,2013.0,0.0,0.0,0.0,0.0,4
272.40021118436925,-22.148641834691457,-36.295844441138975,0.9217283557197554,10500.0,2014.0,0.0,0.0,0.0,0.0,4
276.56081095746066,-18.502209110201246,-40.22061186414827,-0.09964238396864974,10500.0,2015.0,0.0,0.0,0.0,0.0,4
275.8357729132505,-41.23640783174151,-36.97311984607243,1.7397884457483186,10500.0,2016.0,0.0,0.0,0.0,0.0,4
269.1460959368177,15.56325908789627,-37.1209882709097,3.735115167820241,10500.0,2017.0,0.0,0.0,0.0,0.0,4
270.31202780904897,1.1030294088905435,-36.35984817088241,4.337863341786389,10500.0,2018.0,0.0,0.0,0.0,0.0,4
270.41693922787744,-26.640778056119412,-33.90711593621281,2.2992411354526934,10500.0,2019.0,0.0,0.0,0.0,0.0,4
273.53452019857434,16.343752583340038,-40.434608199553885,2.540378639731499,10540.0,2005.0,0.0,0.0,0.0,0.0,4
275.34012223176563,-51.23791709522791,-35.10277630854466,4.726491065273943,10540.0,2006.0,0.0,0.0,0.0,0.0,4
273.4503207787335,52.35561488801885,-43.911765188894215,1.5832966583722285,10540.0,2007.0,0.0,0.0,0.0,0.0,4
277.037043575468,-11.575608765672596,-41.186735900634034,-0.41950956767013486,10540.0,2008.0,0.0,0.0,0.0,0.0,4
275.4626571974647,18.13634341103438,-42.841002041404444,0.8737718717195815,10540.0,2009.0,0.0,0.0,0.0,0.0,4
277.26142824535617,-48.00254390623378,-37.489150445351456,2.423233212669984,10540.0,2010.0,0.0,0.0,0.0,0.0,4
273.4144490075384,57.62013042699325,-44.26123995547122,1.118824818822737,10540.0,2011.0,0.0,0.0,0.0,0.0,4
277.88375899803833,-45.514009753456314,-38.180391183304764,4.0932592209003955,10540.0,2012.0,0.0,0.0,0.0,0.0,4
276.7762210748888,-23.902734338470747,-39.20919995499435,1.7281798817244838,10540.0,2013.0,0.0,0.0,0.0,0.0,4
276.1663790773111,-6.737709198677722,-40.60927877919775,3.8012210489610703,10540.0,2014.0,0.0,0.0,0.0,0.0,4
275.17176035851145,42.478157268647784,-44.26643331004956,2.4689351075081825,10540.0,2015.0,0.0,0.0,0.0,0.0,4
278.24414825286266,-59.042303731660425,-37.0008271807152,5.043832398295402,10540.0,2016.0,0.0,0.0,0.0,0.0,4
275.1821557196566,41.24512356002544,-44.224120739608786,1.4781064862883317,10540.0,2017.0,0.0,0.0,0.0,0.0,4
