cbsa,Education_Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Income_Total,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Occupation_Total,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,metropolitan_area,city,state
45060,414102,49802,134775,121123,63070,45332,256421,12333,23554,29555,28338,16104,7964,5551,4234,300512,3793,19129,30645,10988,37387,16751,6005,19120,25707,78324,26378,12826,13459,105276,50321,79822,2291,62802.0,2005,True,Syracuse,NY
45220,194690,23893,45385,54334,41268,29810,138144,6555,11077,12575,16056,8020,3253,4119,2963,164707,2421,13384,4666,3079,18915,3758,3355,7892,17909,40284,13420,7138,28486,65484,29055,43639,1228,25301.0,2005,True,Tallahassee,FL
45300,1800695,260492,559762,538635,294729,147077,1106911,56065,91624,112921,106825,63076,30917,28031,26993,1192954,9330,108073,91651,44503,157058,52613,35397,118569,135994,223677,114900,53266,47923,400316,192152,358035,6280,236171.0,2005,True,Tampa-St. Petersburg-Clearwater,FL
45460,104789,14145,40735,29609,12948,7352,67997,2671,5604,6512,6321,2764,945,1223,836,73173,1471,4827,13238,2362,7241,4658,1523,2146,5230,17584,6494,2961,3438,20704,13905,15807,396,22361.0,2005,True,Terre Haute,IN
45500,83663,16034,30543,24556,8440,4090,51866,2425,3021,5002,3479,1958,1052,308,556,55767,1285,4975,6848,1773,5828,1813,813,3407,3712,12367,3631,4136,5179,14144,10249,13381,417,17576.0,2005,True,"Texarkana, TX-Texarkana",AR
45780,413528,53557,144578,121104,59694,34595,258504,12441,23793,26624,29040,15995,7529,4980,4115,306857,1611,16531,58869,11178,37431,18226,4859,15359,22898,70694,25773,13027,10401,94753,52205,74063,895,84941.0,2005,True,Toledo,OH
45820,148489,15731,53804,41685,24927,12342,94116,5018,9574,9257,10040,6721,2862,1692,1570,111786,2194,8893,10348,2950,12916,6431,3895,8387,7279,26249,7692,5641,8911,37825,17181,31039,328,25413.0,2005,True,Topeka,KS
45940,229063,33279,60748,48712,46553,39771,127125,3973,8943,12882,17374,13829,8214,7649,8329,171694,385,9948,17023,5243,17673,7695,5431,14804,19998,39223,11587,7522,15162,70157,28921,44088,339,28189.0,2005,True,Trenton-Ewing,NJ
46060,586686,77676,141603,190592,105499,71316,365174,19893,30571,36498,35057,19791,9260,8885,7867,407672,2915,36623,34347,10667,48624,17347,6361,24991,45599,92922,42334,19566,25376,139921,75714,107698,1259,83080.0,2005,True,Tucson,AZ
46140,570009,74473,175793,174734,101579,43430,346492,18480,29394,33622,33233,18748,8721,6881,7392,421316,7692,29583,53923,15292,45648,27328,15914,32495,38925,85498,34105,21310,13603,138941,68059,110285,866,103165.0,2005,True,Tulsa,OK
46220,118336,22752,36429,31435,16639,11081,79395,3480,5810,5979,6740,2655,1306,1370,905,80196,2172,5244,13432,2282,8885,4538,693,2954,5569,21117,7113,3704,2493,23382,13825,20188,541,22260.0,2005,True,Tuscaloosa,AL
