cbsa,Education_Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Income_Total,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Occupation_Total,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,metropolitan_area,city,state
25420,366030,40246,137521,89597,64812,33854,213105,8844,17917,23920,32116,20394,9629,8623,6327,275922,2349,14042,23897,11370,33416,21473,4845,24086,25485,57071,21512,11846,24530,95990,39363,78992,962,60615.0,2008,True,Harrisburg-Carlisle,PA
25500,70658,14258,24309,14708,11505,5878,43728,2305,4329,5575,5110,2967,1412,1000,978,57248,2426,5659,9181,1964,7487,2414,1230,2097,3295,13481,4028,2306,1680,17108,9213,12256,934,17737.0,2008,True,Harrisonburg,VA
25540,805680,93254,223430,208265,164402,116329,462687,14834,33437,52920,66386,49527,30978,30991,27503,613635,1682,32696,75299,15149,68305,23876,16041,72384,59454,152172,45206,24771,26600,251607,98663,159013,1216,103136.0,2008,True,Hartford-West Hartford-East Hartford,CT
25620,82167,13480,21127,26128,13263,8169,49372,1979,2750,4676,5467,2517,1406,844,1217,63352,1092,6001,5102,1887,7859,3278,1038,3899,3448,17235,7172,3044,2297,21321,10929,15325,324,15453.0,2008,True,Hattiesburg,MS
25860,250348,55281,81896,72912,27191,13068,136478,7600,11841,14726,13612,7000,2951,3044,2742,176760,1423,11922,44932,6786,22427,7310,1656,5729,11450,36580,14413,6737,5395,47958,28050,39617,443,60692.0,2008,True,Hickory-Lenoir-Morganton,NC
26100,160973,15355,51394,48790,30728,14706,93506,5330,9944,12317,13697,7743,3853,2693,2775,133349,2388,7374,33768,5604,15486,6028,1568,6805,8554,26772,11003,5651,2348,42993,18768,33101,1312,37175.0,2008,True,Holland-Grand Haven,MI
26180,613466,58414,171269,193890,124803,65090,302861,11943,23198,33654,48461,34544,20628,19648,18865,430602,2361,33922,15706,13258,45834,24971,9412,32312,43902,90818,61302,18103,38701,152663,91418,115147,1265,70109.0,2008,True,Honolulu,HI
26380,129898,33515,51196,26601,13529,5057,72973,2309,6404,8518,8422,6291,2823,3051,1974,91462,10661,7675,8737,4053,11014,4907,1187,5586,7344,16934,5121,4893,3350,25726,10526,23170,895,31145.0,2008,True,Houma-Bayou Cane-Thibodaux,LA
26420,3576749,711701,857182,999200,676361,332305,1963049,86078,160579,198562,243039,163408,101445,111243,114564,2823218,86070,286713,309584,110665,304127,191101,44190,173335,356236,511535,218887,145510,85265,978114,449615,703534,4099,687856.0,2008,True,Houston-Sugar Land-Baytown,TX
26580,196572,33249,74210,54708,20878,13527,117570,5633,10074,10551,9482,4895,2526,2215,1885,118180,1469,8969,11807,2276,16702,6403,2015,4709,8993,33877,10188,6614,4158,38218,22252,29788,169,27753.0,2008,True,Huntington-Ashland,WV-KY-OH
26620,261526,34572,64832,73403,59153,29566,153326,6942,13552,16543,17554,14588,7413,7061,5460,189434,1459,11100,31470,3170,20598,7430,5135,6934,29416,36583,13953,7028,15158,78013,25374,45886,491,39670.0,2008,True,Huntsville,AL
26820,74172,7356,19765,28098,12685,6268,44086,1938,5053,5529,6018,3574,956,1237,955,59359,1012,5860,4734,1742,9943,2452,1673,2612,8332,12448,4101,1912,2538,19989,9150,17458,679,12083.0,2008,True,Idaho Falls,ID
26900,1115676,126287,326332,308764,234706,119587,666553,28759,56724,72764,87235,57604,31025,26765,27176,863875,4390,56568,112497,29566,93826,49438,23848,64911,99688,179671,74156,40241,35075,321544,128834,233006,1045,179446.0,2008,True,Indianapolis-Carmel,IN
26980,88429,3968,17529,25416,23226,18290,57692,2308,4292,6576,8983,4832,1904,2387,2329,85708,1373,3619,8646,1025,9819,2580,1235,3482,6101,36291,7171,2798,1568,36680,15074,19164,397,14393.0,2008,True,Iowa City,IA
27100,108339,11872,40948,37063,13091,5365,58512,2255,5004,7030,8183,4274,1667,1386,717,70070,359,3733,12862,1840,8790,3499,939,2276,5571,17486,5069,3561,4085,20411,12981,17459,183,19036.0,2008,True,Jackson,MI
27140,334373,47003,84982,104381,63970,34037,197846,9264,15501,19835,21936,15184,6624,6232,6557,248976,4476,17652,18687,7448,31729,13186,5058,17898,20275,65647,18896,11591,16433,89409,40832,67082,1664,49989.0,2008,True,Jackson,MS
27260,871628,108361,259530,289483,141334,72920,501388,24105,45346,59164,68756,39137,21961,20313,18728,643108,2750,53909,37737,20029,82032,44895,14181,72152,65598,120796,63970,31371,33688,222114,106654,187550,991,125799.0,2008,True,Jacksonville,FL
27500,106385,12845,39517,32559,13390,8074,62229,2962,5516,7742,8705,5328,2783,1310,810,79473,1415,4945,18142,3552,9411,4582,2193,3208,4582,15665,6141,2970,2667,23579,11620,19124,455,24695.0,2008,True,Janesville,WI
27620,94843,11004,30661,25811,18955,8412,56202,2457,5637,7351,8801,4442,2053,833,1361,74830,1252,5578,5650,1266,8003,3632,1613,4545,7543,15501,5341,2810,12096,27056,11767,19496,385,16126.0,2008,True,Jefferson City,MO
27740,137193,24677,44293,37057,20410,10756,77923,3670,7798,9435,6683,2886,1234,1342,2167,91673,469,7440,13274,1752,10530,4421,1871,4686,6659,23550,9101,4248,3672,29557,15953,22475,0,23688.0,2008,True,Johnson City,TN
27780,102052,11915,50552,23507,10123,5955,59461,2698,5486,5316,6459,2863,1151,741,302,64791,837,3914,5874,1409,7653,3718,918,3795,6094,19505,3778,3779,3517,17788,14055,16660,329,15959.0,2008,True,Johnstown,PA
27860,76352,12911,28659,19542,9530,5710,46964,1513,3531,3948,5449,2448,990,1146,634,55739,1538,2377,7998,1713,7898,2745,1938,3396,4099,14680,2789,3313,1255,16037,8946,15917,767,14072.0,2008,True,Jonesboro,AR
27900,112738,20938,38076,33475,13867,6382,65159,3510,6200,6873,6106,2585,1151,1187,796,82288,1541,6282,14288,2312,10309,4727,1989,3157,7329,18062,6440,4452,1400,23593,14925,19535,709,23526.0,2008,True,Joplin,MO
28020,204448,19036,56099,68443,38526,22344,126738,6000,12273,13104,15446,7537,3740,3278,3243,154664,2562,7903,26552,4185,15913,5676,2443,7861,13783,41877,13719,7609,4581,54459,27511,38196,1648,32850.0,2008,True,Kalamazoo-Portage,MI
28100,71541,10541,24816,24636,7239,4309,39938,1908,3478,4590,5417,3688,1401,1249,331,54478,1395,4410,6219,3020,6879,2369,723,3612,2146,15543,4091,2515,1556,16381,9214,12404,755,15724.0,2008,True,Kankakee-Bradley,IL
28140,1316095,130239,364341,402247,269879,149389,785377,35844,69783,88706,109449,71843,37025,35578,27492,1037448,6797,70815,100754,38333,116505,56017,40763,89973,123609,215442,79362,53560,45518,392086,159137,276656,1607,207962.0,2008,True,Kansas City,MO-KS
28420,146768,27078,36216,48660,22489,12325,81014,3207,6581,8792,9597,8210,3786,3207,1934,108643,6448,11979,6365,4039,14032,7513,1022,5764,15028,19425,7974,4918,4136,35596,19189,24528,4374,24956.0,2008,True,Kennewick-Pasco-Richland,WA
28660,221973,24307,63384,88751,31386,14145,128041,6415,13185,16978,14581,8564,3211,3844,3325,142279,1337,10744,7384,4113,19071,7401,2784,6890,13266,37913,10193,8773,12410,45213,28934,37893,359,29880.0,2008,True,Killeen-Temple-Fort Hood,TX
28700,217112,42927,71523,62334,26813,13515,129705,6223,11209,16128,9719,6609,3117,2460,2070,134885,1451,10892,25774,3504,17800,5257,2351,6513,9491,28652,11821,6940,4439,38793,23104,35433,579,36976.0,2008,True,Kingsport-Bristol-Bristol,TN-VA
28740,126675,14330,38492,38454,20126,15273,70048,2863,7912,7132,9730,5448,4212,2948,2231,94564,1236,6553,7012,2583,11311,5529,2558,5239,7965,25139,8938,4690,5811,33286,17641,24412,423,18802.0,2008,True,Kingston,NY
28940,471816,61364,141621,132928,88589,47314,284784,15020,23880,28496,30272,18202,9999,9367,8460,336930,1921,23739,33546,9614,45167,15345,8307,22081,40588,73117,32236,18609,12660,121665,55775,88883,716,69891.0,2008,True,Knoxville,TN
29100,84702,5727,23533,31977,15118,8347,53911,3268,5582,6221,7287,3404,1509,1385,933,72950,1475,4052,10234,2744,9472,3457,1704,3340,5570,20719,6197,2256,1730,24411,13899,18321,494,15825.0,2008,True,La Crosse,WI-MN
29140,108248,10638,34254,26891,21446,15019,72547,3865,6196,7079,9811,4508,1759,2184,1244,95366,2235,5500,15271,1637,9236,1975,1214,6171,5850,30282,9843,4228,1924,36582,16103,20168,776,21737.0,2008,True,Lafayette,IN
29180,163326,31215,51831,42132,26938,11210,100710,5838,7550,10033,11121,7329,3096,3290,3886,127706,12857,8945,10672,5896,15699,5497,3353,6995,12049,23544,10708,6131,5360,41817,21917,34586,501,28885.0,2008,True,Lafayette,LA
29340,123669,23208,43844,31261,19350,6006,75081,4205,5712,7286,8209,6032,2654,2193,1970,87548,3360,9346,8140,1735,10992,3548,1339,5015,6913,19878,9733,4810,2739,26787,15765,20980,409,23607.0,2008,True,Lake Charles,LA
29420,140115,25306,48186,50118,11819,4686,73884,3601,7056,6867,6475,2978,1472,685,1206,74002,367,7192,3997,1443,11338,4438,1215,3410,3909,13957,14751,2853,5132,16506,18027,24094,58,15317.0,2008,True,Lake Havasu City-Kingman,AZ
29460,391794,70229,142380,105766,50447,22972,223931,10468,21132,22741,28245,14011,5127,4034,4847,250974,8609,22501,18629,8238,34328,15475,4946,15719,21857,50441,31632,10271,8328,73356,49170,61673,5412,61363.0,2008,True,Lakeland-Winter Haven,FL
29540,332572,59732,129095,67559,51430,24756,186441,8827,18140,24469,27004,14396,7558,6333,5828,254557,6596,21252,49020,10748,32615,9537,5335,11862,18678,53848,17166,11861,6039,79920,35881,62583,2437,73736.0,2008,True,Lancaster,PA
29620,283942,20953,75925,100226,52407,34431,177726,9049,15112,19705,22703,14758,6427,4881,4503,224949,1795,9414,28215,4395,25259,6991,4836,15251,19096,61013,18841,11495,18348,85022,39610,55973,585,43759.0,2008,True,Lansing-East Lansing,MI
29700,122687,42758,25040,33892,15863,5134,65111,2867,5257,4170,6242,3075,2309,1749,1002,96073,1927,6937,1802,2930,14194,13599,1447,5964,6606,23193,7663,4110,5701,24897,20125,29760,564,20727.0,2008,True,Laredo,TX
29740,119931,29380,24905,35865,17729,12052,69848,3241,4036,6077,6742,4373,2174,1714,678,86798,2902,7368,3984,1982,10201,3593,931,2867,7451,27395,8026,4449,5649,27913,18055,21346,1872,17612.0,2008,True,Las Cruces,NM
29820,1224609,206062,351973,398697,183234,84643,684605,33667,63323,81323,99108,59702,30846,29599,24283,917302,2115,96842,31928,18307,103556,42821,15963,62592,96545,115676,257223,39040,34694,243258,250434,235890,630,187090.0,2008,True,Las Vegas-Paradise,NV
29940,64755,3451,12775,17691,17353,13485,43730,1895,3516,4028,5320,3240,1578,1440,1380,65316,397,2931,4472,808,6507,2062,3298,3699,5009,24067,7250,2366,2450,29374,10449,14980,149,10364.0,2008,True,Lawrence,KS
30020,67007,6910,23867,22173,9940,4117,42056,1834,3517,4382,4328,2679,798,931,388,40439,585,2892,3287,504,5327,1561,491,2029,2909,10065,4614,2143,4032,12368,7731,11355,123,8862.0,2008,True,Lawton,OK
30140,89871,13883,39289,20109,11154,5436,51385,2547,5840,6989,7050,4107,2071,1565,385,65773,1053,3839,13480,3478,6439,3255,726,2575,3554,15949,6277,2715,2433,19246,11551,14874,319,19783.0,2008,True,Lebanon,PA
30340,73636,9717,28415,22910,8739,3855,43334,2245,4125,4639,5446,2016,1131,1587,571,54620,186,4189,7165,1822,7315,2408,1051,3195,4321,14979,3920,2387,1682,16031,9305,16501,240,12543.0,2008,True,Lewiston-Auburn,ME
30460,296239,34448,76011,85919,58470,41391,188673,8036,16387,21363,22646,14737,6933,6689,7336,235940,5743,12619,28990,7149,27648,9116,6484,12579,23763,59576,20427,11344,10502,88019,40518,62742,3064,41597.0,2008,True,Lexington-Fayette,KY
30620,69637,8217,30889,21040,5794,3697,39989,1736,4423,5033,4985,1852,413,685,676,49057,659,2739,10028,1517,5301,1779,1064,1399,3986,12091,4139,2287,2068,11408,10499,12270,28,14852.0,2008,True,Lima,OH
30700,183848,13422,41123,64644,43141,21518,114128,5578,11536,13709,16121,8637,4784,2828,2714,168000,1639,11566,16149,4372,16411,6583,3972,14967,16355,43842,13808,7748,10588,64351,27843,42801,763,32242.0,2008,True,Lincoln,NE
30780,440058,52190,141836,132091,72909,41032,272612,13591,24032,26630,31506,16119,10806,6660,7777,328313,4653,24936,31242,11338,39800,17021,11268,21692,29610,76423,26001,16472,17857,110155,51140,96796,1112,69110.0,2008,True,Little Rock-North Little Rock-Conway,AR
30860,63089,4581,14445,23258,13081,7724,37745,2046,4215,4467,3788,3101,884,849,1221,59387,1587,3742,10940,731,7982,1621,1347,4189,4749,14927,4024,1868,1680,19973,8730,14342,276,16066.0,2008,True,Logan,UT-ID
30980,137216,23877,45863,42418,17444,7614,79198,3327,6656,7772,9722,5433,2657,1683,2319,94804,8670,5466,14016,3013,12987,4660,2108,4299,6638,18198,6864,5297,2588,25934,15240,22429,577,30624.0,2008,True,Longview,TX
31100,8220506,1904258,1643628,2218132,1595221,859267,4139921,162191,306034,419153,502318,377723,221129,269097,291349,6143074,24600,399600,745766,237010,681993,309717,238086,430758,745148,1184667,601446,357735,186548,2170064,1050597,1635613,14944,1271856.0,2008,True,Los Angeles-Long Beach-Santa Ana,CA
31140,839874,108863,282149,247144,121754,79964,497535,24225,42564,55379,62801,36039,19358,14008,13181,612885,3956,41672,88448,19864,64190,43845,11387,47961,52317,136912,53517,28234,20582,203085,95980,158588,1633,153599.0,2008,True,Louisville-Jefferson County,KY-IN
31180,161880,26953,41311,49437,28614,15565,107411,5447,10011,9511,13494,6377,3055,2829,2780,135572,3351,7842,8750,6760,15645,5698,3968,9268,13277,33564,13339,8836,5274,45147,24385,40051,1360,24629.0,2008,True,Lubbock,TX
31340,163156,28145,49161,50770,22099,12981,97770,3868,8280,11275,11182,6534,3018,1999,1824,119333,625,10041,20564,3124,14486,5765,2063,7600,8431,28466,8636,5434,4098,38949,19645,30007,204,30528.0,2008,True,Lynchburg,VA
31420,154002,31260,47222,40558,24283,10679,88284,5126,7668,7979,7831,5885,2482,1885,2700,100845,1007,7308,9473,2785,9493,8013,1604,8616,6463,24256,10172,5935,5720,31784,19252,24452,480,24877.0,2008,True,Macon,GA
31460,91944,28864,21474,29822,7927,3857,41888,2113,4532,4041,5096,2405,1331,737,2050,53936,7985,4207,3779,987,6897,2368,1127,2273,3148,10649,4120,3110,3286,11377,11080,12240,6319,12920.0,2008,True,Madera,CA
31540,368846,22157,88737,111222,87068,59662,226131,7727,20969,27359,35282,23259,11161,8348,9452,321121,6119,18836,32515,6935,36853,10127,9315,28193,34497,81886,25448,12630,17767,138627,45363,78830,2913,55388.0,2008,True,Madison,WI
31700,272431,27724,75253,73998,61964,33492,149731,6407,12481,16369,22162,17563,10986,10448,7981,222681,914,15899,34493,7868,28132,8652,6041,17338,26392,44533,15828,10799,5792,90908,31875,56764,384,42750.0,2008,True,Manchester-Nashua,NH
31900,86233,13289,35107,24616,9744,3477,47940,1636,5339,5096,5548,2175,625,954,1299,56555,218,3125,14338,1602,7292,2481,2288,1504,3459,11105,4089,2365,2689,13820,10004,14049,176,18506.0,2008,True,Mansfield,OH
32580,388753,162015,94403,73524,40555,18256,211551,7897,13940,14248,16205,9595,4255,3377,4137,264839,10708,25510,11419,7161,35368,14763,3397,11820,23130,74865,21364,15202,10132,68535,63838,66069,4928,61469.0,2008,True,McAllen-Edinburg-Mission,TX
32780,139967,14138,41495,50112,22822,11400,82017,2780,6928,9519,8236,4040,2571,1765,1690,92116,2483,8410,8058,2480,16635,4521,2254,4182,9832,14125,9458,6330,3348,27078,18050,26161,783,20044.0,2008,True,Medford,OR
32820,817303,130235,235834,249689,130061,71484,480876,21824,38792,46987,53609,31877,16763,17308,19235,607689,4232,35175,59126,26084,61978,71178,8796,39265,55160,131036,55478,31530,28651,203057,101661,163415,1884,137672.0,2008,True,Memphis,TN-MS-AR
32900,141456,47665,33592,41928,10740,7531,72353,3070,5370,8137,7790,4551,2259,1642,1716,97233,14119,6526,10674,2854,11377,5312,1797,3128,5355,21097,6661,3973,4360,23680,18373,18563,11498,25119.0,2008,True,Merced,CA
33100,3735027,647528,1011350,974187,706258,395704,1997988,83597,161808,190153,226269,143264,79535,88907,98757,2553747,11918,207967,138015,102387,321793,162944,66275,221179,329960,489913,251428,143841,106127,831120,497294,750949,8576,465808.0,2008,True,Miami-Fort Lauderdale-Pompano Beach,FL
33140,76334,10431,31491,21945,8586,3881,42012,1840,3563,4700,5050,2937,1365,776,1088,52108,457,3842,12236,1548,6993,2792,488,1537,3334,10112,4946,1383,2440,13632,8643,13595,41,16197.0,2008,True,Michigan City-La Porte,IN
33340,1016576,113272,288101,301427,207223,106553,606682,27925,52077,65850,83382,53233,29646,24694,20979,793044,3296,41381,141926,26491,84540,38082,19497,64927,81376,173123,58113,34856,25436,287284,120687,205769,2067,177237.0,2008,True,Milwaukee-Waukesha-West Allis,WI
33460,2122203,154055,510077,660959,539544,257568,1262247,50159,101622,147663,190637,134599,74294,76458,71627,1782111,12767,100767,251075,61866,214589,84541,42000,162373,208029,368385,138688,78900,58131,730799,251198,468000,4980,327134.0,2008,True,Minneapolis-St. Paul-Bloomington,MN-WI
33660,261184,43484,91961,73359,34319,18061,160153,7641,12922,13196,18008,9449,4524,3587,3710,178309,2452,16162,21338,6124,21082,12258,3227,10732,16298,37152,13136,10654,7694,53599,28797,46559,816,48538.0,2008,True,Mobile,AL
33700,311851,77537,85954,101212,31556,15592,160855,9982,12588,18352,20231,11379,7569,6595,4253,217476,8632,19698,27602,8733,28745,11948,3314,8545,17832,44879,17988,11129,8431,56568,37777,58231,5564,59336.0,2008,True,Modesto,CA
33740,107579,17819,36445,27833,16360,9122,64218,2192,4677,5924,6110,4161,1833,1894,1719,77938,1519,5750,5761,3084,9704,3229,2501,5905,6323,21998,5679,3692,2793,25632,14320,20457,221,17308.0,2008,True,Monroe,LA
33780,103358,11879,41840,32707,11629,5303,58785,2288,5505,7415,9653,4941,3036,2273,937,72518,441,4816,15449,2168,8286,6062,834,3506,5058,14815,5445,3932,1706,19046,12465,17592,83,23332.0,2008,True,Monroe,MI
33860,234111,37140,68718,68809,38034,21410,137791,5833,11134,14268,16955,9241,5679,4168,3605,168032,1206,10621,18175,4873,20664,7025,2574,12021,13802,32827,14880,9156,20208,55391,29549,46869,568,35655.0,2008,True,Montgomery,AL
34060,74088,10952,28826,13361,10335,10614,42959,2102,4228,4728,4536,2613,876,904,675,55890,2856,3649,4250,682,6050,1603,688,2159,4077,19129,6011,2376,2360,18855,10635,13449,50,12901.0,2008,True,Morgantown,WV
34100,93898,22832,32847,25563,7300,5356,51726,2141,4341,5435,5227,2526,1051,403,579,65735,705,5902,14766,1296,8968,4495,784,2334,3194,12086,6417,3110,1678,14780,11030,15685,187,24053.0,2008,True,Morristown,TN
34580,79908,9743,20342,30304,12753,6766,44103,2748,5108,4947,6806,3428,1576,1207,1281,55417,4236,5270,6309,1810,7340,2830,1532,3715,3541,10042,4279,2282,2231,14494,9608,12745,3221,15349.0,2008,True,Mount Vernon-Anacortes,WA
34740,114757,14822,41347,41000,10871,6717,66384,3237,6450,6599,7444,3080,1224,1400,630,76804,398,4709,18806,2434,9525,2629,1448,2248,5488,17674,5312,3595,2538,20144,14682,19803,150,22025.0,2008,True,Muskegon-Norton Shores,MI
34820,181947,25973,62964,56743,23307,12960,110356,4919,9105,11108,13160,5442,3370,1803,2159,120915,379,13200,5447,2933,19645,3157,2039,9780,11456,19603,24469,5571,3236,33430,29107,36513,39,21826.0,2008,True,Myrtle Beach-North Myrtle Beach-Conway,SC
34940,231692,38596,61121,60441,45213,26321,117344,5557,7717,12584,14700,9804,6482,5525,10845,135515,2249,18763,4994,3832,18217,5799,2046,9522,13919,21759,22656,7543,4216,36927,33696,35400,1930,27562.0,2008,True,Naples-Marco Island,FL
34980,1025736,146843,296734,280894,201203,100062,604174,29699,52750,66128,74377,45938,25172,24889,25147,788180,4557,63159,86837,29400,95138,39798,25131,57578,74528,165248,73543,37331,35932,282256,115260,215309,2209,173146.0,2008,True,Nashville-Davidson--Murfreesboro--Franklin,TN
35300,568429,66341,167314,149108,103710,81956,322436,13617,24457,33371,43361,31371,20940,18778,18309,435650,1467,25061,53539,12102,52556,17845,12618,31422,39024,122881,30111,18769,18255,170756,70937,111721,525,81711.0,2008,True,New Haven-Milford,CT
35380,746086,122002,235969,213020,115291,59804,383802,17777,30272,38303,44654,29887,14118,14623,14387,524882,8202,47422,38605,16666,63317,25451,10145,30947,51268,111998,64456,28047,28358,174359,100427,136241,1297,112558.0,2008,True,New Orleans-Metairie-Kenner,LA
35620,12801794,2079199,3386367,2823918,2660553,1851757,6760231,236356,474338,633103,828407,635142,408314,492834,599097,9303131,11457,569421,628908,309008,985717,556075,341009,911401,1161054,2254254,739375,453238,382214,3621043,1697092,2433041,7432,1544523.0,2008,True,New York-Northern New Jersey-Long Island,NY-NJ-PA
35660,107201,13027,32479,37791,15137,8767,63978,3394,5127,5612,7592,3295,2287,1622,1547,75791,1791,4453,16198,2384,8154,5873,1333,3103,5580,14182,7106,3824,1810,21740,12850,20327,1116,19758.0,2008,True,Niles-Benton Harbor,MI
35980,180901,14508,59241,50418,31651,25083,103401,3781,9703,12524,17639,9657,7518,6287,5027,136072,653,7483,17622,2353,14665,7399,2632,6997,11447,28916,23737,4950,7218,51351,29137,30986,293,24305.0,2008,True,Norwich-New London,CT
36100,238837,36280,89391,71483,27181,14502,136226,6273,12870,15166,12517,6081,2441,2118,2454,127790,3506,15963,8876,3912,19285,5570,2474,8404,10109,24801,13535,5536,5819,35269,23219,37085,1000,31217.0,2008,True,Ocala,FL
36220,78869,19449,23533,26781,6220,2886,46053,1752,3243,5814,5568,3893,1786,1303,1487,63232,7948,5910,5975,2224,7115,3973,945,3706,4606,10996,4631,3729,1474,15155,9656,16116,128,22177.0,2008,True,Odessa,TX
36260,306563,23730,77767,120917,58054,26095,169217,9049,17410,23429,24760,15829,9077,6227,4453,253087,2700,18077,31561,6519,32467,11830,4564,18222,25270,47926,19602,9651,24698,88954,36842,71238,554,55499.0,2008,True,Ogden-Clearfield,UT
36420,773831,100176,213196,256276,134840,69343,464491,21258,40943,51713,52131,32381,16860,14515,13106,597164,18229,48926,45510,17565,71654,29802,12700,41511,52744,127183,52680,35615,43045,205652,101567,158514,2445,128986.0,2008,True,Oklahoma City,OK
36500,167685,11684,39942,63368,32161,20530,97122,3937,7808,13558,15490,9669,6202,3853,2812,121156,1556,9190,6818,3086,14088,4308,1826,7607,10188,24470,10357,4915,22747,50283,19506,29963,635,20769.0,2008,True,Olympia,WA
36540,531414,48055,142539,172562,113025,55233,328004,13996,28325,39213,45776,25800,15321,12372,12067,442272,4558,31685,39573,13211,52005,26946,11619,44466,49714,98171,36859,19603,13862,158205,73413,120678,1694,88282.0,2008,True,Omaha-Council Bluffs,NE-IA
36740,1376200,171893,409585,432549,245309,116864,749772,34900,71183,80408,88630,53680,29302,30497,24678,1015555,6965,83820,53256,27339,136125,50410,29245,81232,138161,162822,167321,43574,35285,341611,197558,297951,3842,174593.0,2008,True,Orlando-Kissimmee,FL
36780,109211,12526,39292,30371,18346,8676,63144,2193,5211,8368,8907,5351,2339,1070,2072,86083,650,3863,21947,2758,9234,3436,1861,4480,6617,18172,7832,2671,2562,26882,14343,20324,216,24318.0,2008,True,Oshkosh-Neenah,WI
36980,74744,11353,27459,22208,7911,5813,46817,2728,3892,5554,5005,1990,781,714,881,49395,1589,3250,10839,1508,4262,2856,1012,2393,1952,11088,4364,2405,1877,12700,9280,10758,174,16483.0,2008,True,Owensboro,KY
37100,509490,91765,97190,168107,99060,53368,256944,8799,18613,25542,35613,31636,20454,23301,20648,385504,18041,26826,45362,12854,41371,13498,12390,32356,46394,70120,31763,15484,19045,145573,60167,96995,13489,69280.0,2008,True,Oxnard-Thousand Oaks-Ventura,CA
37340,385698,37901,110555,138224,63754,35264,217467,10039,20023,24949,28193,13477,8068,7125,5722,240427,1301,18956,27172,4268,33978,9546,5335,13291,29146,49084,20617,12391,15342,86896,46953,60382,619,45577.0,2008,True,Palm Bay-Melbourne-Titusville,FL
37460,112823,14663,37788,39704,12335,8333,69693,3694,6650,9354,6998,3829,1473,2283,1233,74641,135,7819,4311,1312,10153,2902,1952,3211,8426,15488,8286,5103,5543,21756,14902,20457,132,17394.0,2008,True,Panama City-Lynn Haven,FL
37620,111809,13687,43664,35331,12913,6214,67315,4128,7223,7929,5953,3801,1359,1357,674,73998,1147,5696,10999,2100,8994,3737,1071,3115,4532,17086,8634,3477,3410,21955,14618,17957,278,19190.0,2008,True,Parkersburg-Marietta-Vienna,WV-OH
37860,299572,38213,86510,103677,47529,23643,165965,7280,15040,18525,19890,10837,5052,5202,3143,200443,1676,16677,11372,5652,26596,11465,3752,11590,22388,45264,20771,11132,12108,60769,39194,57992,515,41973.0,2008,True,Pensacola-Ferry Pass-Brent,FL
37900,248813,26409,73788,84137,44167,20312,151183,6452,13107,17039,21676,11418,5761,5515,5402,187093,2476,10551,33999,5993,21094,8378,3208,10301,15543,42962,15755,10637,6196,66885,31896,45939,584,41789.0,2008,True,Peoria,IL
37980,3871819,480564,1204656,944121,753468,489010,2204131,85150,170390,219269,289239,217387,132454,130580,129454,2849247,13911,170121,291171,90374,320372,140086,69099,245053,349589,706414,202176,123877,127004,1149641,438871,755320,7367,498048.0,2008,True,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD
38060,2735449,445606,662886,902329,469501,255127,1461699,67397,125709,168072,200050,128552,68276,61356,59146,2020789,15336,200064,164701,58104,255426,107609,41921,190325,237533,365062,191297,103223,90188,680184,361561,558460,5375,415209.0,2008,True,Phoenix-Mesa-Scottsdale,AZ
38300,1652793,152154,601796,424502,296277,178064,987110,46422,79872,110768,111856,69476,37179,32768,32398,1153074,7657,71240,130021,35727,134754,68636,23814,79343,111761,295473,100192,58859,35597,417972,200990,306443,2082,225587.0,2008,True,Pittsburgh,PA
38340,92003,7318,32005,26327,15427,10926,57455,1910,4867,6589,6284,4188,1099,2045,1561,65455,617,4853,6448,1347,8079,2334,1782,2360,6438,17950,7117,3273,2857,21563,15336,16102,221,12233.0,2008,True,Pittsfield,MA
38860,361258,28921,106420,106936,76327,42654,212774,8584,17578,24640,29265,17963,10010,8664,6298,268936,2848,17297,29883,8301,36757,8318,5846,24179,24751,62888,26098,11972,9798,100463,46983,68425,2310,50755.0,2008,True,Portland-South Portland-Biddeford,ME
38900,1490729,149267,329850,515471,321029,175112,835028,36109,74969,96517,116558,76359,46599,39247,35064,1127700,13760,79777,157075,37251,131843,60062,23295,81897,132178,224909,93415,53322,38916,430141,178012,284901,7051,227595.0,2008,True,Portland-Vancouver-Beaverton,OR-WA
38940,287270,45572,94151,85359,40257,21931,154764,7324,14053,15953,17237,9190,6336,4540,6058,170269,2966,18554,9518,3576,27591,10401,2483,10423,19447,31535,17975,8480,7320,48937,36662,46026,1857,36787.0,2008,True,Port St. Lucie,FL
