# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10,year,cbsa_code
255,164,73,15,3,.,161,87.0,45.0,.,.,221,.,34,.,2005,11620
62,42,20,.,.,.,86,61.0,38.0,.,.,.,.,62,.,2005,21420
116,48,65,3,.,.,115,74.0,55.0,.,.,.,.,116,.,2005,22900
365,277,69,19,.,.,150,87.0,39.0,.,.,343,.,22,.,2005,30020
357,254,98,5,.,.,115,77.0,43.0,.,.,293,.,61,3,2005,32540
365,234,116,15,.,.,140,87.0,44.0,.,40,242,.,28,55,2005,33060
359,270,84,5,.,.,112,65.0,34.0,.,.,.,78,98,183,2005,34780
365,182,150,30,3,.,172,100.0,51.0,.,34,206,.,124,1,2005,36420
365,225,115,25,.,.,150,93.0,46.0,.,.,235,52,41,37,2005,38620
365,252,101,12,.,.,133,80.0,44.0,.,46,265,5,27,22,2005,45140
365,121,195,42,7,.,177,105.0,58.0,.,1,154,107,102,1,2005,46140
25,24,1,.,.,.,51,30.0,17.0,.,.,.,.,.,25,2005,48220
362,298,60,3,1,.,152,63.0,22.0,.,.,.,.,362,.,2005,10540
365,327,38,.,.,.,90,52.0,20.0,6,.,.,.,350,9,2005,13460
362,324,37,1,.,.,104,52.0,15.0,.,.,.,.,362,.,2005,18700
365,215,113,28,9,.,160,101.0,44.0,.,.,126,.,238,1,2005,21660
365,274,89,1,1,.,160,62.0,29.0,3,.,.,.,362,.,2005,24420
362,286,72,4,.,.,138,71.0,21.0,.,.,.,.,346,16,2005,25840
362,257,83,22,.,.,149,80.0,32.0,.,.,.,.,362,.,2005,28900
365,292,68,4,1,.,151,66.0,26.0,.,.,.,.,355,10,2005,29260
365,233,121,10,1,.,151,80.0,44.0,2,.,138,.,225,.,2005,32780
365,223,127,12,3,.,156,80.0,42.0,1,1,107,.,255,1,2005,38900
128,88,40,.,.,.,89,68.0,38.5,.,.,.,.,128,.,2005,40700
365,293,65,7,.,.,133,63.0,32.0,7,.,142,.,216,.,2005,41420
360,307,53,.,.,.,99,57.0,19.0,.,.,.,.,360,.,2005,45520
365,131,195,33,6,.,166,102.0,57.0,.,8,92,62,178,25,2005,10900
365,258,92,15,.,.,150,77.0,41.0,1,74,184,97,.,9,2005,11020
204,139,57,8,.,.,119,87.0,44.5,.,.,204,.,.,.,2005,16540
208,115,66,23,4,.,161,108.0,48.0,.,.,208,.,.,.,2005,20180
365,152,175,32,6,.,195,101.0,54.0,.,19,103,69,174,.,2005,21500
364,168,169,26,1,.,161,93.0,53.0,.,.,169,.,195,.,2005,23900
365,128,195,37,5,.,174,106.0,62.0,.,15,104,19,227,.,2005,25420
365,200,121,38,6,.,172,107.0,48.0,.,31,168,166,.,.,2005,26860
365,215,125,24,1,.,151,91.0,46.0,.,57,124,91,85,8,2005,27780
365,203,117,41,4,.,177,108.0,46.0,.,70,163,46,81,5,2005,29540
365,231,111,21,2,.,157,89.0,44.0,.,99,144,108,.,14,2005,35260
365,68,221,54,19,3,217,129.0,66.0,.,58,113,71,122,1,2005,35620
365,69,210,60,25,1,206,139.0,71.0,.,17,114,87,145,2,2005,37980
365,29,185,118,32,1,204,145.0,90.0,.,1,49,218,97,.,2005,38300
361,346,15,.,.,.,84,36.0,13.0,81,.,.,280,.,.,2005,39060
365,221,111,30,3,.,169,99.0,44.0,.,109,110,64,78,4,2005,39740
344,283,50,11,.,.,129,71.0,37.0,.,.,344,.,.,.,2005,41260
365,171,168,24,2,.,161,91.0,53.0,.,24,129,8,204,.,2005,42540
362,290,61,10,1,.,154,71.0,36.0,.,.,362,.,.,.,2005,43740
365,176,163,23,3,.,161,94.0,52.0,.,4,174,10,177,.,2005,44300
365,217,63,76,9,.,200,126.0,34.0,.,.,.,365,.,.,2005,47620
365,275,66,22,2,.,156,87.0,34.0,.,.,207,145,.,13,2005,48700
365,187,124,47,7,.,179,108.0,49.0,1,98,138,50,74,4,2005,49620
365,129,189,40,7,.,177,110.0,58.0,.,.,148,33,184,.,2005,49660
365,187,149,21,8,.,182,93.0,50.0,1,18,119,54,172,1,2005,39300
365,47,149,90,72,7,208,167.0,93.0,.,4,206,.,153,2,2005,12540
365,170,125,46,9,15,3884,133.0,51.0,.,.,299,.,3,63,2005,13860
365,213,113,38,1,.,159,105.0,47.0,.,2,294,.,69,.,2005,17020
361,352,9,.,.,.,87,46.0,35.0,.,.,355,.,6,.,2005,17340
131,131,.,.,.,.,43,23.0,13.0,.,.,.,.,117,14,2005,18860
365,126,170,59,10,.,187,119.0,61.0,9,55,255,.,38,8,2005,20940
37,29,8,.,.,.,92,66.0,24.0,.,.,.,.,34,3,2005,21700
365,105,145,70,43,2,206,154.0,72.0,.,16,217,.,131,1,2005,23420
364,201,115,41,7,.,182,105.0,48.0,.,63,247,.,49,5,2005,25260
365,55,171,78,49,12,238,166.0,84.0,2,46,188,1,128,.,2005,31080
362,265,79,18,.,.,136,87.0,40.0,.,66,296,.,.,.,2005,31460
364,231,89,42,2,.,169,108.0,43.0,.,46,268,.,48,2,2005,32900
365,242,83,32,8,.,172,105.0,42.0,2,80,226,.,55,2,2005,33700
365,361,4,.,.,.,90,41.0,31.0,3,74,285,.,.,3,2005,34900
365,183,120,55,7,.,187,119.0,50.0,.,25,307,.,33,.,2005,37100
295,188,74,32,1,.,151,101.0,43.0,.,.,279,.,.,16,2005,39780
365,277,70,15,3,.,159,84.0,43.0,.,.,355,.,10,.,2005,39820
365,46,141,85,63,30,242,192.0,100.0,.,35,214,.,111,5,2005,40140
365,103,170,50,36,6,213,154.0,68.0,.,3,202,.,160,.,2005,40900
365,351,14,.,.,.,84,45.0,35.0,.,21,323,.,15,6,2005,41500
365,83,227,50,5,.,159,111.0,67.0,.,59,208,.,92,6,2005,41740
365,199,145,19,2,.,161,88.0,48.0,.,11,128,2,224,.,2005,41860
365,196,145,23,1,.,154,93.0,48.0,.,11,213,.,141,.,2005,41940
365,281,79,5,.,.,150,67.0,42.0,.,12,328,10,13,2,2005,42020
365,351,14,.,.,.,87,44.0,34.0,.,2,344,.,13,6,2005,42100
365,233,119,13,.,.,140,84.0,47.0,.,2,344,.,18,1,2005,42200
365,344,21,.,.,.,96,44.0,31.0,1,51,276,.,37,.,2005,42220
365,264,81,19,1,.,159,87.0,41.0,7,.,358,.,.,.,2005,43760
365,281,69,13,2,.,155,71.0,40.0,3,104,194,.,59,5,2005,44700
365,188,113,44,18,2,216,126.0,50.0,.,.,300,.,21,44,2005,46020
365,357,8,.,.,.,69,43.0,32.0,1,34,312,.,12,6,2005,46380
365,244,106,15,.,.,145,79.0,41.0,.,6,168,.,191,.,2005,46700
365,74,142,79,66,4,207,161.0,84.0,.,.,200,.,165,.,2005,47300
365,201,136,28,.,.,143,93.0,48.0,.,21,215,.,128,1,2005,49700
365,130,204,29,2,.,156,97.0,57.0,.,.,115,.,249,1,2005,12260
365,165,184,16,.,.,140,84.0,53.0,.,1,100,13,250,1,2005,16700
365,93,201,56,14,1,206,126.0,64.0,.,6,144,16,199,.,2005,16740
365,106,224,31,4,.,177,100.0,61.0,.,1,98,63,167,36,2005,17900
319,209,90,19,1,.,151,84.0,44.0,.,.,244,.,75,.,2005,22500
359,279,64,16,.,.,140,80.0,39.0,.,.,359,.,.,.,2005,23500
365,253,106,6,.,.,117,70.0,35.0,.,.,.,56,73,236,2005,23860
365,108,222,33,2,.,159,99.0,61.0,.,6,108,4,246,1,2005,24860
264,142,106,15,1,.,154,93.0,49.0,.,.,177,.,87,.,2005,24940
90,48,40,2,.,.,117,68.0,47.0,.,.,.,.,90,.,2005,25940
119,64,54,1,.,.,121,72.0,49.0,.,.,.,.,119,.,2005,34820
362,272,81,8,1,.,156,71.0,42.0,.,.,313,4,45,.,2005,42860
354,143,175,34,2,.,151,101.0,55.5,.,.,128,.,222,4,2005,43900
284,226,50,8,.,.,126,74.0,37.0,.,.,284,.,.,.,2005,47500
122,100,22,.,.,.,81,61.0,32.5,.,.,.,.,121,1,2005,10100
136,109,27,.,.,.,83,60.0,29.0,.,.,.,.,106,30,2005,15100
365,221,140,4,.,.,122,69.0,47.0,.,.,243,.,28,94,2005,39660
124,84,39,1,.,.,130,67.0,37.0,.,.,.,.,116,8,2005,43580
365,284,79,2,.,.,105,67.0,38.0,.,13,258,8,76,10,2005,43620
123,85,38,.,.,.,82,68.0,36.0,.,.,.,.,120,3,2005,47980
358,257,88,13,.,.,130,74.0,28.5,.,144,.,112,92,10,2005,11940
288,126,134,26,2,.,185,100.0,54.0,.,.,189,.,98,1,2005,16860
365,196,134,34,1,.,153,100.0,49.0,.,.,245,49,71,.,2005,17300
365,319,39,6,1,.,200,54.0,27.0,.,154,.,181,.,30,2005,17420
121,58,58,4,1,.,152,79.0,52.0,.,.,.,.,121,.,2005,18260
111,50,59,2,.,.,131,76.0,52.0,.,.,.,.,111,.,2005,20540
104,79,25,.,.,.,78,58.0,33.5,.,.,.,.,73,31,2005,27180
365,115,150,93,7,.,171,122.0,67.0,1,22,109,183,50,.,2005,28700
365,30,205,118,12,.,170,133.0,87.0,.,.,123,150,91,1,2005,28940
118,67,48,3,.,.,109,73.0,45.0,.,.,.,.,118,.,2005,29980
365,82,191,78,13,1,202,129.0,67.0,.,3,135,38,187,2,2005,32820
240,120,87,30,3,.,200,112.0,50.5,.,.,240,.,.,.,2005,34100
365,93,217,49,6,.,179,112.0,61.0,.,4,117,1,243,.,2005,34980
361,204,125,29,3,.,156,100.0,47.0,.,.,361,.,.,.,2005,42940
59,59,.,.,.,.,47,39.0,31.0,.,2,56,1,.,.,2005,46100
363,335,28,.,.,.,72,46.0,25.0,.,.,.,.,363,.,2005,11100
365,215,132,15,3,.,156,90.0,46.0,.,4,194,.,167,.,2005,12420
353,86,201,61,4,1,204,115.0,64.0,.,.,127,87,139,.,2005,13140
361,221,136,4,.,.,133,70.0,45.0,1,.,93,.,265,2,2005,15180
365,226,137,2,.,.,113,71.0,46.0,.,.,111,15,238,1,2005,18580
365,95,171,59,36,4,213,154.0,65.0,.,16,166,59,124,.,2005,19100
129,97,32,.,.,.,84,57.0,35.0,.,.,.,.,129,.,2005,20580
365,90,233,37,5,.,185,104.0,62.0,.,14,132,1,163,55,2005,21340
363,42,205,72,37,7,219,156.0,71.0,.,10,150,50,137,16,2005,26420
346,257,87,2,.,.,114,60.0,39.0,.,.,.,.,346,.,2005,28780
365,244,118,3,.,.,104,64.0,44.0,2,.,110,.,221,32,2005,29700
364,230,100,30,4,.,172,100.0,42.0,.,12,303,18,31,.,2005,30980
171,130,41,.,.,.,81,56.0,33.0,.,.,.,.,171,.,2005,31180
362,189,151,21,1,.,154,92.0,48.5,.,.,176,.,186,.,2005,32220
365,219,139,7,.,.,122,75.0,46.0,.,.,107,.,252,6,2005,32580
365,308,57,.,.,.,85,54.0,31.0,.,.,.,.,365,.,2005,36220
365,198,140,23,4,.,164,93.0,49.0,.,28,192,.,144,1,2005,41700
117,66,50,1,.,.,101,73.0,47.0,.,.,.,.,117,.,2005,45500
365,247,86,31,1,.,156,100.0,43.0,.,6,359,.,.,.,2005,46340
357,294,57,6,.,.,147,67.0,34.0,.,.,357,.,.,.,2005,47020
288,225,63,.,.,.,85,64.0,35.0,.,.,.,.,288,.,2005,48660
365,221,106,23,15,.,167,105.0,47.0,.,74,143,.,144,4,2005,30860
365,200,132,25,7,1,203,95.0,49.0,6,149,165,1,30,14,2005,36260
365,221,122,18,3,1,207,90.0,46.0,.,126,139,.,94,6,2005,39340
355,233,101,17,3,1,204,84.0,46.0,.,.,353,.,2,.,2005,41100
365,163,140,54,8,.,187,117.0,54.0,.,93,117,18,124,13,2005,41620
45,45,.,.,.,.,19,13.0,5.0,.,.,.,.,.,45,2005,46860
340,283,48,9,.,.,136,58.0,40.0,.,.,286,.,54,.,2005,13540
244,152,78,14,.,.,140,81.0,46.0,.,.,154,.,90,.,2005,13620
365,298,62,5,.,.,143,60.0,39.0,1,25,269,.,70,.,2005,15540
362,319,39,4,.,.,133,54.0,36.0,.,.,328,.,34,.,2005,17200
365,306,57,2,.,.,107,59.0,26.0,5,202,.,60,96,2,2005,40860
359,261,85,13,.,.,150,84.0,43.0,.,.,359,.,.,.,2005,13980
86,43,43,.,.,.,96,82.0,50.5,.,.,.,.,86,.,2005,14140
59,59,.,.,.,.,36,32.0,19.0,.,.,.,.,.,59,2005,16820
365,364,1,.,.,.,51,39.0,27.0,.,348,.,5,.,12,2005,25500
365,115,150,93,7,.,171,122.0,67.0,1,22,109,183,50,.,2005,28700
121,65,54,2,.,.,107,81.0,48.0,.,.,.,.,121,.,2005,31340
365,119,192,46,8,.,200,115.0,58.0,.,24,117,72,152,.,2005,40060
365,222,127,16,.,.,129,84.0,43.0,3,84,156,22,96,4,2005,40220
365,162,183,19,1,.,151,87.0,53.0,.,.,137,39,189,.,2005,47260
365,104,198,45,18,.,187,126.0,61.0,.,35,127,32,166,5,2005,47900
238,159,64,15,.,.,136,87.0,44.0,.,.,209,.,.,29,2005,49020
365,348,17,.,.,.,61,40.0,22.0,.,.,.,.,365,.,2005,10140
365,328,37,.,.,.,80,51.0,28.0,.,.,92,.,273,.,2005,13380
190,186,4,.,.,.,61,42.5,29.5,.,.,103,.,87,.,2005,16500
355,301,54,.,.,.,91,56.0,29.0,.,.,.,.,355,.,2005,21260
365,302,60,1,1,1,486,56.0,31.0,.,.,.,.,313,52,2005,28420
336,320,16,.,.,.,67,39.0,20.0,.,.,.,.,305,31,2005,30300
310,275,35,.,.,.,100,54.0,18.0,.,.,.,.,300,10,2005,31020
365,335,30,.,.,.,68,46.0,24.0,.,.,.,.,365,.,2005,34180
365,360,4,1,.,.,103,39.0,28.0,.,29,293,12,31,.,2005,34580
365,278,85,2,.,.,130,65.0,34.0,.,.,95,.,270,.,2005,36500
365,352,13,.,.,.,63,38.0,22.0,.,.,.,.,365,.,2005,36830
365,275,89,1,.,.,111,63.0,33.0,.,.,94,.,271,.,2005,38820
365,223,127,12,3,.,156,80.0,42.0,1,1,107,.,255,1,2005,38900
365,353,12,.,.,.,60,36.0,21.0,.,.,.,.,365,.,2005,39420
365,165,175,24,1,.,154,91.0,53.0,.,7,67,1,290,.,2005,42660
365,306,59,.,.,.,86,56.0,27.0,.,.,.,.,365,.,2005,43220
365,187,168,10,.,.,107,81.0,50.0,1,.,121,.,231,12,2005,44060
365,297,66,2,.,.,125,62.0,29.0,.,.,.,.,230,135,2005,47460
349,258,89,2,.,.,115,64.0,30.0,.,.,.,.,349,.,2005,48300
365,281,70,13,1,.,151,76.0,25.0,1,.,.,.,339,25,2005,49420
117,61,56,.,.,.,94,81.0,46.0,.,.,.,.,117,.,2005,13220
86,43,43,.,.,.,96,82.0,50.5,.,.,.,.,86,.,2005,14140
365,185,154,24,2,.,154,90.0,50.0,.,.,122,125,103,15,2005,16620
119,46,72,1,.,.,113,81.0,53.0,.,.,.,.,119,.,2005,17220
118,39,77,2,.,.,122,82.0,55.5,.,.,.,.,118,.,2005,21900
267,118,123,24,2,.,164,100.0,54.0,.,.,172,.,95,.,2005,25180
365,143,186,34,2,.,173,100.0,57.0,.,26,135,114,89,1,2005,26580
365,198,115,49,3,.,192,109.0,46.0,.,.,119,172,74,.,2005,34060
363,174,147,37,5,.,169,105.0,54.0,.,.,114,180,69,.,2005,37620
345,293,41,10,1,.,154,64.0,23.0,.,.,.,345,.,.,2005,38580
365,104,198,45,18,.,187,126.0,61.0,.,35,127,32,166,5,2005,47900
365,43,152,150,20,.,200,136.0,93.0,1,.,46,290,28,.,2005,48260
365,98,159,98,10,.,200,123.0,74.0,.,.,97,227,41,.,2005,48540
238,159,64,15,.,.,136,87.0,44.0,.,.,209,.,.,29,2005,49020
245,155,74,16,.,.,143,87.0,42.0,.,.,169,.,76,.,2005,11540
365,267,87,11,.,.,147,75.0,41.0,.,.,305,.,60,.,2005,12660
365,210,132,21,2,.,158,89.0,46.0,.,.,211,.,153,1,2005,13180
365,40,231,68,24,2,208,130.0,77.0,.,45,77,77,157,9,2005,16980
365,260,99,6,.,.,133,69.0,41.0,.,.,183,.,180,2,2005,20260
41,41,.,.,.,.,47,27.0,12.0,.,.,.,.,.,41,2005,20740
186,124,45,16,1,.,156,100.0,44.0,.,.,186,.,.,.,2005,22540
355,229,97,24,5,.,192,95.0,39.0,.,.,150,137,68,.,2005,24580
195,156,36,3,.,.,133,74.0,38.0,.,.,174,.,21,.,2005,27020
185,119,52,14,.,.,150,97.0,44.0,.,.,185,.,.,.,2005,27500
7,2,5,.,.,.,94,94.0,64.0,.,.,.,.,7,.,2005,29100
259,145,96,18,.,.,150,93.0,46.0,.,.,170,.,89,.,2005,31540
239,152,62,16,7,2,205,103.0,42.0,.,2,161,.,76,.,2005,31820
365,212,112,28,11,2,205,104.0,45.0,3,63,171,9,95,24,2005,33340
365,150,188,20,7,.,161,93.0,56.0,.,3,116,22,222,2,2005,33460
122,71,47,4,.,.,114,78.0,40.0,.,.,.,.,122,.,2005,38420
185,131,34,13,7,.,182,105.0,42.0,.,.,185,.,.,.,2005,39540
202,140,34,17,9,2,205,126.0,42.0,.,.,185,.,.,17,2005,43100
185,116,52,16,1,.,159,100.0,45.0,.,.,185,.,.,.,2005,48020
186,143,37,5,1,.,156,80.0,43.0,.,.,186,.,.,.,2005,48140
186,114,50,20,2,.,161,105.0,45.5,.,.,186,.,.,.,2005,48580
365,257,100,8,.,.,147,74.0,44.0,17,.,307,.,41,.,2005,14500
268,248,19,1,.,.,108,46.0,14.0,.,.,.,.,.,268,2005,14720
54,54,.,.,.,.,31,27.0,16.5,.,.,.,.,.,54,2005,15860
365,256,95,13,1,.,151,77.0,44.0,3,.,326,.,28,8,2005,17820
365,109,215,39,2,.,164,103.0,58.0,.,97,162,5,71,30,2005,19740
365,222,138,5,.,.,140,77.0,47.0,.,8,349,.,.,8,2005,20420
365,236,117,11,1,.,151,80.0,48.0,.,.,351,.,14,.,2005,22660
357,348,9,.,.,.,69,34.0,18.0,.,.,.,.,1,356,2005,24060
365,322,42,1,.,.,122,52.0,29.0,7,.,.,.,94,264,2005,24300
365,244,102,19,.,.,147,84.0,44.0,27,.,301,.,37,.,2005,24540
124,119,5,.,.,.,63,43.0,29.0,.,.,.,.,107,17,2005,39380
329,312,17,.,.,.,66,38.0,17.0,.,.,.,.,14,315,2005,44460
91,91,.,.,.,.,41,26.0,14.0,.,.,.,.,.,91,2005,16220
111,111,.,.,.,.,43,30.0,17.0,.,.,.,.,91,20,2005,16940
365,199,154,12,.,.,131,77.0,49.0,.,28,140,44,13,140,2005,23940
364,313,50,1,.,.,106,54.0,43.5,10,.,330,.,21,3,2005,27220
359,268,91,.,.,.,100,61.0,46.0,.,.,354,.,.,5,2005,29660
182,158,23,1,.,.,105,56.0,16.0,.,.,.,60,88,34,2005,40180
365,336,27,1,1,.,193,46.0,20.0,.,.,.,.,.,365,2005,40540
246,184,61,1,.,.,106,61.0,31.5,.,.,.,.,72,174,2005,43260
107,100,7,.,.,.,65,49.0,20.0,.,.,.,.,107,.,2005,10260
318,278,39,1,.,.,107,54.0,17.0,.,.,.,318,.,.,2005,17640
340,327,13,.,.,.,74,32.0,7.0,.,.,.,221,72,47,2005,25020
106,89,17,.,.,.,83,56.0,24.0,.,.,.,.,106,.,2005,32420
119,85,34,.,.,.,77,61.0,35.0,.,.,.,.,70,49,2005,38660
365,278,85,2,.,.,106,60.0,38.0,30,2,.,43,180,110,2005,41980
365,236,93,20,12,4,205,99.0,44.0,1,81,157,55,71,.,2005,14860
365,220,119,16,8,2,205,93.0,45.0,11,47,169,5,133,.,2005,25540
365,174,155,28,7,1,203,100.0,52.0,.,68,94,18,185,.,2005,35300
237,157,64,13,3,.,169,87.0,45.0,.,.,164,.,73,.,2005,35980
300,225,51,17,7,.,185,87.0,39.0,.,.,249,.,51,.,2005,45860
365,226,117,18,4,.,195,87.0,45.0,.,13,193,1,155,3,2005,49340
265,150,93,20,2,.,154,97.0,47.0,.,.,192,.,73,.,2005,20100
365,69,210,60,25,1,206,139.0,71.0,.,17,114,87,145,2,2005,37980
263,131,102,23,6,1,206,105.0,51.0,.,.,193,.,70,.,2005,41540
365,104,198,45,18,.,187,126.0,61.0,.,35,127,32,166,5,2005,47900
364,304,56,4,.,.,140,58.0,38.0,.,.,315,.,41,8,2005,15980
365,299,63,3,.,.,133,59.0,38.0,.,.,283,.,64,18,2005,19660
365,267,89,9,.,.,126,74.0,40.0,.,.,302,.,60,3,2005,23540
121,96,24,1,.,.,103,56.0,33.0,.,.,.,.,121,.,2005,26140
365,121,213,28,3,.,175,97.0,57.0,.,1,89,82,187,6,2005,27260
363,296,60,7,.,.,126,67.0,36.0,.,.,363,.,.,.,2005,29380
365,277,78,10,.,.,150,71.0,39.0,.,.,291,5,61,8,2005,29460
365,158,195,11,1,.,160,79.0,52.0,.,9,92,12,252,.,2005,33100
363,271,90,2,.,.,119,58.0,39.0,.,.,142,.,221,.,2005,34940
365,259,86,19,1,.,151,84.0,43.0,.,4,312,4,34,11,2005,35840
363,281,74,8,.,.,136,71.0,38.0,.,.,302,.,61,.,2005,36100
365,192,152,16,5,.,182,84.0,49.0,1,3,153,.,208,.,2005,36740
365,334,29,2,.,.,109,46.0,22.0,.,.,.,100,.,265,2005,37260
365,307,51,7,.,.,126,61.0,38.0,.,.,317,.,40,8,2005,37340
360,251,94,15,.,.,147,80.0,42.0,.,.,298,.,51,11,2005,37460
364,125,200,38,1,.,154,101.0,58.0,.,.,139,36,189,.,2005,37860
352,262,87,3,.,.,121,64.0,40.0,.,5,176,.,171,.,2005,38940
343,285,52,6,.,.,136,71.0,38.0,.,.,343,.,.,.,2005,42680
358,314,39,5,.,.,112,58.0,37.0,.,.,358,.,.,.,2005,42700
365,142,209,12,2,.,161,84.0,55.0,.,.,97,.,268,.,2005,45220
365,79,218,63,5,.,176,112.0,63.0,.,.,96,95,168,6,2005,45300
365,26,270,59,10,.,179,120.0,75.0,36,.,50,7,239,33,2005,13820
365,150,200,14,1,.,156,88.0,55.0,.,.,88,3,273,1,2005,17980
254,158,86,10,.,.,147,80.0,46.0,.,.,170,.,84,.,2005,19300
285,154,111,20,.,.,136,97.0,49.0,.,.,198,.,87,.,2005,19460
265,186,77,2,.,.,124,71.0,44.0,.,.,170,.,95,.,2005,20020
59,35,23,1,.,.,119,68.0,47.0,.,.,.,.,59,.,2005,21640
365,255,100,10,.,.,126,75.0,43.0,.,.,186,94,85,.,2005,22520
358,248,102,8,.,.,140,74.0,43.0,.,.,274,.,84,.,2005,22840
280,157,115,8,.,.,120,80.0,47.0,.,.,186,.,89,5,2005,23460
364,228,115,21,.,.,133,88.0,44.0,.,.,276,.,82,6,2005,26620
353,229,117,6,1,.,154,80.0,44.0,.,.,174,28,79,72,2005,33660
285,168,114,3,.,.,133,79.0,48.0,.,.,183,.,102,.,2005,33860
364,322,35,7,.,.,131,56.0,10.5,.,3,17,344,.,.,2005,42460
281,204,75,2,.,.,110,68.0,41.0,.,.,173,.,107,1,2005,45180
56,55,1,.,.,.,51,31.0,19.0,.,.,.,.,.,56,2005,45980
274,158,106,9,1,.,164,81.0,47.0,.,.,182,.,92,.,2005,46220
308,258,46,4,.,.,133,60.0,22.5,99,.,.,.,101,108,2006,11260
338,224,93,19,2,.,156,89.0,32.0,2,.,.,.,336,.,2006,21820
108,88,18,2,.,.,133,67.0,21.5,.,.,.,.,106,2,2006,27940
116,52,64,.,.,.,100,73.0,53.0,.,.,.,.,111,5,2006,10500
243,153,80,9,1,.,156,87.0,47.0,.,.,243,.,.,.,2006,11140
365,135,200,25,5,.,161,100.0,57.0,.,.,132,.,233,.,2006,12020
365,53,220,62,23,7,217,140.0,72.0,.,7,128,29,201,.,2006,12060
365,127,213,22,3,.,169,93.0,58.0,.,.,153,.,212,.,2006,12260
282,206,75,1,.,.,122,64.0,43.0,.,.,192,.,88,2,2006,15260
293,123,139,27,4,.,169,101.0,54.0,.,.,195,.,93,5,2006,16860
365,137,211,14,3,.,154,89.0,58.0,.,.,98,.,267,.,2006,17980
265,144,109,12,.,.,150,93.0,49.0,.,.,208,.,57,.,2006,19140
58,23,35,.,.,.,84,73.0,54.5,.,.,.,.,58,.,2006,20060
11,6,5,.,.,.,77,63.0,35.0,.,.,.,.,11,.,2006,21640
110,44,66,.,.,.,89,74.0,54.0,.,.,.,.,110,.,2006,23580
365,132,209,21,3,.,164,97.0,58.0,.,.,109,8,248,.,2006,31420
353,302,42,9,.,.,141,59.0,7.0,.,.,.,353,.,.,2006,33300
358,231,116,10,1,.,155,78.0,31.0,.,.,.,252,106,.,2006,40660
365,125,230,10,.,.,145,82.0,57.0,.,.,27,57,281,.,2006,42340
263,194,60,9,.,.,143,74.0,44.0,.,.,243,.,.,20,2006,44900
61,29,32,.,.,.,81,65.0,52.0,.,.,.,.,61,.,2006,46660
60,18,42,.,.,.,87,72.5,55.5,.,.,.,.,60,.,2006,47580
365,235,13,20,96,1,249,200.0,7.0,.,.,.,314,51,.,2006,25900
346,340,6,.,.,.,88,31.0,19.0,.,.,.,.,66,280,2006,27980
335,335,.,.,.,.,31,19.0,10.0,.,.,.,.,.,335,2006,28180
365,355,9,1,.,.,149,34.0,21.0,8,28,132,28,54,115,2006,46520
365,162,171,30,2,.,164,97.0,53.0,1,.,132,.,222,10,2006,14260
365,270,91,4,.,.,132,67.0,39.0,.,15,102,.,247,1,2006,17660
303,290,13,.,.,.,83,38.0,21.0,.,.,.,.,303,.,2006,26820
364,255,108,1,.,.,140,71.0,44.0,16,.,326,.,19,3,2006,27220
337,293,38,6,.,.,121,53.0,23.0,.,.,.,.,308,29,2006,30300
365,185,171,8,1,.,152,77.0,50.0,.,19,202,.,144,.,2006,30860
342,315,21,6,.,.,140,43.0,16.0,.,.,.,.,342,.,2006,34140
365,209,151,5,.,.,146,70.0,47.0,.,.,.,133,216,16,2006,38540
351,349,2,.,.,.,57,29.0,14.0,.,.,.,.,.,351,2006,41760
307,272,35,.,.,.,79,52.0,29.0,.,.,.,.,307,.,2006,46300
365,280,78,7,.,.,119,68.0,35.0,.,.,334,.,31,.,2006,14010
60,59,1,.,.,.,53,28.5,19.0,.,.,.,.,.,60,2006,16060
365,265,97,3,.,.,129,70.0,39.0,.,.,302,.,63,.,2006,16580
365,24,299,38,4,.,164,102.0,71.0,.,77,46,100,136,6,2006,16980
365,148,211,6,.,.,115,77.0,54.0,.,4,82,2,164,113,2006,19340
364,267,91,6,.,.,129,67.0,39.0,.,.,268,51,45,.,2006,19500
216,182,32,2,.,.,112,58.0,39.0,.,.,216,.,.,.,2006,20820
116,116,.,.,.,.,50,34.0,20.0,.,.,.,.,.,116,2006,22800
251,178,73,.,.,.,100,71.0,43.0,.,.,211,.,40,.,2006,34500
365,259,69,29,8,.,200,101.0,28.0,.,.,.,89,92,184,2006,36860
365,222,133,10,.,.,147,77.0,44.0,.,53,176,54,82,.,2006,37140
365,209,129,18,9,.,200,90.0,46.0,10,.,167,130,57,1,2006,37900
362,291,67,4,.,.,119,67.0,37.0,.,.,307,19,36,.,2006,39500
365,326,39,.,.,.,95,53.0,32.0,19,.,308,.,38,.,2006,40420
365,18,182,125,40,.,200,154.0,96.0,.,28,61,156,72,48,2006,41180
365,284,74,7,.,.,120,67.0,37.0,3,.,274,53,35,.,2006,44100
183,103,70,10,.,.,136,87.0,49.0,.,.,183,.,.,.,2006,14020
365,24,299,38,4,.,164,102.0,71.0,.,77,46,100,136,6,2006,16980
365,137,171,48,9,.,182,112.0,61.0,.,31,138,125,71,.,2006,17140
240,160,78,2,.,.,133,71.5,45.0,.,.,147,.,93,.,2006,21140
