"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","357","324","33",".",".",".","93","50","39",".",".","357",".",".","."
"16820","Charlottesville, VA","365","322","43",".",".",".","75","51","36",".",".","169",".","196","."
"25500","Harrisonburg, VA","365","326","39",".",".",".","90","51","36",".","109","193","4","59","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","224","117","24",".",".","138","89","46",".","36","153","146","30","."
"31340","Lynchburg, VA","116","105","11",".",".",".","62","50","29.5",".",".",".",".","116","."
"40060","Richmond, VA","365","233","129","3",".",".","119","67","45",".","13","157","4","191","."
"40220","Roanoke, VA","365","291","74",".",".",".","91","56","39",".","12","159",".","194","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","281","84",".",".",".","93","61","40",".","25","183","8","149","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","154","197","13","1",".","156","84","53",".","18","160",".","187","."
"49020","Winchester, VA-WV","342","271","71",".",".",".","84","61","39",".",".","146",".","196","."
