"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11540","Appleton, WI","365","271","85","9",".",".","132","67","41",".",".","185","44","136","."
"12660","Baraboo, WI","365","301","63","1",".",".","122","59","39",".",".","209",".","154","2"
"13180","Beaver Dam, WI","365","278","84","3",".",".","133","64","41",".",".","245",".","120","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","117","222","20","6",".","177","90","57",".","27","109","6","210","13"
"20260","Duluth, MN-WI","365","305","58","2",".",".","109","57","35",".",".","277",".","78","10"
"20740","Eau Claire, WI","365","282","82","1",".",".","129","62","41",".",".","189",".","176","."
"22540","Fond du Lac, WI","244","213","30","1",".",".","101","54","39",".",".","244",".",".","."
"24580","Green Bay, WI","365","288","71","5","1",".","151","64","41",".",".","220","7","138","."
"27500","Janesville-Beloit, WI","246","217","28","1",".",".","133","54","39",".",".","246",".",".","."
"29100","La Crosse-Onalaska, WI-MN","365","300","65",".",".",".","97","59","39",".",".","184",".","181","."
"31540","Madison, WI","365","271","92","2",".",".","122","64","42",".",".","179",".","185","1"
"31820","Manitowoc, WI","239","202","30","5","2",".","169","64","40",".",".","239",".",".","."
"33340","Milwaukee-Waukesha-West Allis, WI","365","236","120","7","2",".","169","74","44",".","10","181",".","174","."
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","365","173","187","5",".",".","122","75","51","4","5","92","1","161","102"
"38420","Platteville, WI","351","296","55",".",".",".","81","55","31",".",".",".",".","351","."
"39540","Racine, WI","236","187","38","9","2",".","161","77","42",".",".","236",".",".","."
"43100","Sheboygan, WI","239","186","42","9","2",".","185","84","43",".",".","239",".",".","."
"48020","Watertown-Fort Atkinson, WI","243","209","32","2",".",".","126","58","39",".",".","243",".",".","."
"48140","Wausau, WI","232","205","27",".",".",".","97","54","38.5",".",".","232",".",".","."
"48580","Whitewater-Elkhorn, WI","237","202","33","2",".",".","126","58","40",".",".","237",".",".","."
