"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","323","282","41",".",".",".","100","54","40",".",".","323",".",".","."
"16820","Charlottesville, VA","264","219","45",".",".",".","100","56","38",".",".","187",".","77","."
"25500","Harrisonburg, VA","365","316","48","1",".",".","109","52","35",".","110","177","3","75","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","198","122","45",".",".","144","104","48","1","33","138","159","34","."
"31340","Lynchburg, VA","122","102","20",".",".",".","71","54","33",".",".",".",".","122","."
"40060","Richmond, VA","365","228","134","3",".",".","115","73","46",".","51","134","26","154","."
"40220","Roanoke, VA","365","260","105",".",".",".","93","63","42",".","12","113",".","237","3"
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","240","125",".",".",".","100","64","44",".","14","125","34","192","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","159","192","14",".",".","150","85","53","2","46","132","7","178","."
"49020","Winchester, VA-WV","262","203","58","1",".",".","101","60","39",".",".","173",".","88","1"
