"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14500","Boulder, CO","204","190","14",".",".",".","97","48","35",".",".","106",".","82","16"
"15860","Ca¤on City, CO","52","52",".",".",".",".","50","24","14",".",".",".",".",".","52"
"17820","Colorado Springs, CO","366","263","101","2",".",".","126","71","45",".",".","326","16","24","."
"18780","Craig, CO","345","316","29",".",".",".","67","50","41",".",".","345",".",".","."
"19740","Denver-Aurora-Lakewood, CO","366","92","245","25","4",".","159","93","61",".","80","217","1","52","16"
"20420","Durango, CO","366","251","107","8",".",".","122","80","46",".","1","359",".","3","3"
"22660","Fort Collins, CO","366","189","169","7","1",".","151","87","50",".",".","315",".","49","2"
"24060","Glenwood Springs, CO","366","264","101","1",".",".","126","67","47",".",".","366",".",".","."
"24300","Grand Junction, CO","366","260","105","1",".",".","102","64","46",".",".","295",".","71","."
"24540","Greeley, CO","366","246","117","3",".",".","129","71","45",".",".","284",".","81","1"
"33940","Montrose, CO","253","236","17",".",".",".","84","49","40",".",".","253",".",".","."
"39380","Pueblo, CO","128","126","2",".",".",".","64","35","20",".",".",".",".","76","52"
"44460","Steamboat Springs, CO","352","343","9",".",".",".","60","26","14.5",".",".",".",".",".","352"
