"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11540","Appleton, WI","362","297","65",".",".",".","98","60","38",".",".","158",".","204","."
"12660","Baraboo, WI","364","311","53",".",".",".","96","55","36",".",".","175",".","186","3"
"13180","Beaver Dam, WI","365","297","67","1",".",".","101","58","38",".",".","271",".","93","1"
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","116","235","11","3",".","183","84","57",".","20","78","7","237","23"
"20260","Duluth, MN-WI","365","325","38","2",".",".","104","51","36",".",".","229",".","129","7"
"20740","Eau Claire, WI","358","325","32","1",".",".","125","50","33",".",".","197",".","161","."
"22540","Fond du Lac, WI","194","165","29",".",".",".","97","58","40",".",".","194",".",".","."
"24580","Green Bay, WI","365","279","83","3",".",".","122","69","40",".",".","165","34","166","."
"27500","Janesville-Beloit, WI","192","165","27",".",".",".","100","58","41",".",".","192",".",".","."
"29100","La Crosse-Onalaska, WI-MN","361","314","47",".",".",".","98","53","37",".",".","203",".","158","."
"31540","Madison, WI","365","283","81","1",".",".","106","61","41",".",".","177","9","179","."
"31820","Manitowoc, WI","191","159","27","5",".",".","133","67","38",".",".","191",".",".","."
"33340","Milwaukee-Waukesha-West Allis, WI","365","251","109","5",".",".","122","66","43",".","8","184",".","172","1"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","365","193","166","6",".",".","137","69","49",".","4","97",".","166","98"
"38420","Platteville, WI","361","311","49","1",".",".","107","54","29",".",".",".",".","361","."
"39540","Racine, WI","185","154","30","1",".",".","105","67","39",".",".","185",".",".","."
"43100","Sheboygan, WI","198","154","33","10","1",".","159","80","40",".",".","198",".",".","."
"48020","Watertown-Fort Atkinson, WI","198","171","27",".",".",".","93","58","40",".",".","198",".",".","."
"48140","Wausau, WI","204","192","12",".",".",".","90","48","36",".",".","204",".",".","."
"48580","Whitewater-Elkhorn, WI","199","170","28","1",".",".","108","58","40",".",".","199",".",".","."
