"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"16180","Carson City, NV","365","285","79","1",".",".","144","71","43",".",".","243",".","122","."
"21220","Elko, NV","359","314","45",".",".",".","97","54","29",".",".","112",".","13","234"
"21980","Fallon, NV","261","209","50","2",".",".","133","61","44",".",".","261",".",".","."
"22280","Fernley, NV","275","207","64","4",".",".","108","71","45",".",".","275",".",".","."
"23820","Gardnerville Ranchos, NV","314","244","63","5","2",".","171","65","30",".",".",".",".","314","."
"29820","Las Vegas-Henderson-Paradise, NV","365","140","202","22","1",".","151","93","58",".","11","247",".","103","4"
"37220","Pahrump, NV","365","357","7",".","1",".","165","30","16",".",".",".",".",".","365"
"39900","Reno, NV","365","206","147","12",".",".","115","77","49",".","7","260",".","83","15"
