"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10420","Akron, OH","366","254","111","1",".",".","112","61","44",".",".","123",".","243","."
"11780","Ashtabula, OH","366","324","36","6",".",".","126","54","30",".",".","213","153",".","."
"11900","Athens, OH","60","58","2",".",".",".","56","41.5","27",".",".",".",".","60","."
"15940","Canton-Massillon, OH","366","267","93","6",".",".","119","67","40","2",".","174",".","190","."
"17140","Cincinnati, OH-KY-IN","366","166","182","18",".",".","140","80","53",".","18","134","4","207","3"
"17460","Cleveland-Elyria, OH","366","190","152","19","5",".","200","90","50",".","8","138","39","176","5"
"18140","Columbus, OH","366","264","92","10",".",".","126","71","42",".","37","186",".","142","1"
"19380","Dayton, OH","366","246","113","7",".",".","112","72","44",".",".","233","1","132","."
"26580","Huntington-Ashland, WV-KY-OH","366","246","117","3",".",".","129","62","43",".","2","125",".","239","."
"30620","Lima, OH","366","316","47","3",".",".","122","58","34",".",".","206",".","160","."
"31930","Marietta, OH","214","189","25",".",".",".","90","54","40",".",".","214",".",".","."
"34540","Mount Vernon, OH","213","175","38",".",".",".","100","64","41",".",".","213",".",".","."
"39020","Portsmouth, OH","366","355","10","1",".",".","129","42","15",".",".",".","38","116","212"
"41400","Salem, OH","365","364","1",".",".",".","52","16","1",".",".",".","305",".","60"
"44220","Springfield, OH","366","270","90","6",".",".","119","65","42",".",".","173","3","190","."
"45780","Toledo, OH","366","282","79","5",".",".","115","61","40",".",".","183","32","151","."
"47920","Washington Court House, OH","353","310","42","1",".",".","108","54","37",".",".","353",".",".","."
"48260","Weirton-Steubenville, WV-OH","366","185","174","7",".",".","112","72","50",".",".","104","24","235","3"
"48540","Wheeling, WV-OH","366","241","122","3",".",".","108","65","44",".","12","178",".","174","2"
"48940","Wilmington, OH","211","154","53","4",".",".","112","74","44",".",".","211",".",".","."
"49660","Youngstown-Warren-Boardman, OH-PA","366","239","121","6",".",".","143","67","44",".",".","191",".","174","1"
