"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","118","208","33","6",".","182","105","58","2",".","115","3","230","15"
"17980","Columbus, GA-AL","365","190","170","5",".",".","126","80","49",".",".","98",".","267","."
"19300","Daphne-Fairhope-Foley, AL","282","204","69","9",".",".","126","74","42",".",".","209",".","73","."
"19460","Decatur, AL","280","192","86","2",".",".","115","75","43.5",".",".","201",".","79","."
"20020","Dothan, AL","283","207","76",".",".",".","100","67","44",".",".","206",".","77","."
"22520","Florence-Muscle Shoals, AL","279","214","64","1",".",".","101","61","42",".",".","197",".","82","."
"22840","Fort Payne, AL","336","257","78","1",".",".","101","63","40",".",".","270",".","66","."
"23460","Gadsden, AL","275","208","67",".",".",".","99","62","41",".",".","188",".","87","."
"26620","Huntsville, AL","331","222","105","4",".",".","126","77","44",".",".","198",".","80","53"
"33660","Mobile, AL","304","215","82","7",".",".","122","80","42",".",".","208",".","75","21"
"33860","Montgomery, AL","283","179","101","3",".",".","108","77","45",".",".","199",".","84","."
"45180","Talladega-Sylacauga, AL","110","61","49",".",".",".","94","66.5","47",".",".",".",".","110","."
"46220","Tuscaloosa, AL","279","234","44","1",".",".","103","56","38",".",".","181",".","98","."
