"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11700","Asheville, NC","364","179","167","16","2",".","159","84","51",".",".","153",".","211","."
"14380","Boone, NC","123","93","30",".",".",".","85","58","37",".",".",".",".","123","."
"15500","Burlington, NC","359","189","169","1",".",".","138","71","50",".",".",".",".","359","."
"16740","Charlotte-Concord-Gastonia, NC-SC","366","114","202","42","8",".","190","112","58",".","3","153","15","195","."
"19000","Cullowhee, NC","104","69","35",".",".",".","92","64","42",".",".",".",".","104","."
"20500","Durham-Chapel Hill, NC","366","181","175","9","1",".","159","80","51",".",".","106","11","249","."
"22180","Fayetteville, NC","362","176","171","15",".",".","143","82","51",".",".","123",".","239","."
"24140","Goldsboro, NC","196","114","81","1",".",".","104","64","45.5",".",".",".",".","196","."
"24660","Greensboro-High Point, NC","366","169","181","13","3",".","161","87","52",".",".","120",".","246","."
"24780","Greenville, NC","260","155","93","11","1",".","178","87","46",".",".","180",".","80","."
"25860","Hickory-Lenoir-Morganton, NC","366","144","210","12",".",".","147","80","54",".",".","90",".","276","."
"28820","Kinston, NC","256","165","83","8",".",".","129","77","44",".",".","180",".","76","."
"31300","Lumberton, NC","116","68","48",".",".",".","75","65","44.5",".",".",".",".","116","."
"32000","Marion, NC","362","186","174","1","1",".","152","69","50",".",".",".",".","362","."
"33980","Morehead City, NC","216","205","11",".",".",".","80","44","33",".",".","216",".",".","."
"37080","Oxford, NC","214","119","80","15",".",".","150","90","48",".",".","214",".",".","."
"39580","Raleigh, NC","366","182","162","21","1",".","173","90","51",".",".","163",".","203","."
"40580","Rocky Mount, NC","257","159","88","10",".",".","140","80","46",".",".","182",".","75","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","366","200","138","21","7",".","174","90","47.5",".","23","146","37","160","."
"47820","Washington, NC","350","346","4",".",".",".","67","21.5","3",".",".",".","350",".","."
"48900","Wilmington, NC","356","233","108","15",".",".","142","86","41",".",".","98","247","11","."
"49180","Winston-Salem, NC","366","134","213","17","2",".","161","86","55",".","14","110","2","240","."
