"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11940","Athens, TN","358","342","13","3",".",".","124","37","18",".","268",".","43",".","47"
"16860","Chattanooga, TN-GA","359","134","215","10",".",".","129","80","56",".",".","120",".","239","."
"17300","Clarksville, TN-KY","365","215","147","3",".",".","141","77","47",".",".","255","57","53","."
"17420","Cleveland, TN","362","351","11",".",".",".","92","31","14",".","228",".","85",".","49"
"27180","Jackson, TN","54","54",".",".",".",".","33","23","14",".",".",".",".",".","54"
"28700","Kingsport-Bristol-Bristol, TN-VA","365","163","140","58","4",".","198","109","57",".","42","135","162","26","."
"28940","Knoxville, TN","365","96","229","38","2",".","163","101","59",".",".","178",".","175","12"
"29980","Lawrenceburg, TN","254","176","76","2",".",".","115","67","45",".",".","214",".","40","."
"32820","Memphis, TN-MS-AR","365","170","160","29","6",".","174","97","52",".","16","172",".","177","."
"34100","Morristown, TN","245","162","75","8",".",".","147","80","46",".",".","245",".",".","."
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","365","192","153","19","1",".","151","90","48",".","23","172",".","170","."
"42940","Sevierville, TN","363","192","148","22","1",".","151","93","50",".",".","363",".",".","."
