"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","183","162","20","1",".","172","90","50.5",".","13","115","35","194","9"
"11020","Altoona, PA","365","288","72","5",".",".","140","67","37","2","80","186","86",".","11"
"16540","Chambersburg-Waynesboro, PA","204","156","39","9",".",".","115","77","43",".",".","204",".",".","."
"20180","DuBois, PA","204","135","60","9",".",".","126","87","44",".",".","204",".",".","."
"20700","East Stroudsburg, PA","211","168","37","4","2",".","169","67","39",".",".","211",".",".","."
"21500","Erie, PA","366","228","132","5","1",".","156","72","45",".","14","128","25","193","6"
"23900","Gettysburg, PA","365","213","133","18","1",".","159","80","47",".",".","202",".","163","."
"25420","Harrisburg-Carlisle, PA","366","163","179","22","2",".","174","90","54",".","10","116","15","225","."
"26860","Indiana, PA","364","262","87","15",".",".","143","81","40",".","38","175","151",".","."
"27780","Johnstown, PA","366","246","115","5",".",".","109","71","41.5","1","55","122","88","90","10"
"29540","Lancaster, PA","366","241","106","19",".",".","143","87","43","1","49","169","59","79","9"
"35260","New Castle, PA","366","276","87","3",".",".","143","67","38",".","67","158","72",".","69"
"35620","New York-Newark-Jersey City, NY-NJ-PA","366","54","260","34","17","1","201","115","67",".","17","80","21","248","."
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","366","85","231","38","10","2","260","108","63",".","24","107","25","209","1"
"38300","Pittsburgh, PA","366","31","233","90","12",".","200","124","76",".","8","28","164","166","."
"39740","Reading, PA","366","257","88","20","1",".","156","80","40",".","67","176","45","78","."
"41260","St. Marys, PA","344","298","41","5",".",".","119","54","36",".",".","344",".",".","."
"42540","Scranton--Wilkes-Barre--Hazleton, PA","366","238","116","10","2",".","185","74","42",".","47","141","9","169","."
"43740","Somerset, PA","360","316","43","1",".",".","108","54","35",".",".","360",".",".","."
"44300","State College, PA","366","218","136","12",".",".","136","80","45",".",".","193","5","168","."
"47620","Warren, PA","365","279","62","22","2",".","182","84","20",".",".",".","365",".","."
"48700","Williamsport, PA","365","314","43","6","2",".","159","61","29",".",".","205","154",".","6"
"49620","York-Hanover, PA","365","227","107","29","2",".","177","95","43","1","90","155","38","76","5"
"49660","Youngstown-Warren-Boardman, OH-PA","366","161","186","19",".",".","150","88","54",".",".","123","27","216","."
