"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11940","Athens, TN","110","92","18",".",".",".","63","53.5","32",".",".",".",".","110","."
"16860","Chattanooga, TN-GA","363","248","112","3",".",".","133","62","44",".",".","141",".","222","."
"17300","Clarksville, TN-KY","365","269","96",".",".",".","87","59","43",".",".","197","11","157","."
"18260","Cookeville, TN","118","102","16",".",".",".","60","53","28",".",".",".",".","118","."
"20540","Dyersburg, TN","111","99","12",".",".",".","66","51","31",".",".",".",".","111","."
"27180","Jackson, TN","110","95","15",".",".",".","62","52","32",".",".",".",".","110","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","224","117","24",".",".","138","89","46",".","36","153","146","30","."
"28940","Knoxville, TN","365","205","158","2",".",".","105","70","48",".",".","185",".","136","44"
"29980","Lawrenceburg, TN","110","103","7",".",".",".","70","47","30",".",".",".",".","110","."
"32820","Memphis, TN-MS-AR","365","244","116","5",".",".","129","67","44",".","11","180",".","174","."
"34100","Morristown, TN","245","183","61","1",".",".","101","71","44",".",".","245",".",".","."
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","365","223","141","1",".",".","112","67","46",".","34","115",".","216","."
"42940","Sevierville, TN","364","302","61","1",".",".","112","58","43",".",".","364",".",".","."
