"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11940","Athens, TN","357","344","11","2",".",".","133","33","18",".","259",".","59",".","39"
"16860","Chattanooga, TN-GA","361","145","196","19","1",".","157","87","55",".",".","144",".","217","."
"17300","Clarksville, TN-KY","365","210","143","12",".",".","147","80","48",".",".","288","18","59","."
"17420","Cleveland, TN","364","315","44","4","1",".","151","55","24",".","75",".","267",".","22"
"27180","Jackson, TN","58","58",".",".",".",".","29","22","14.5",".",".",".",".",".","58"
"28700","Kingsport-Bristol-Bristol, TN-VA","365","155","138","62","10",".","200","115","57",".","34","122","170","39","."
"28940","Knoxville, TN","365","124","201","40",".",".","147","101","58",".",".","219","1","124","21"
"29980","Lawrenceburg, TN","58","34","24",".",".",".","72","59","45",".",".",".",".","58","."
"32820","Memphis, TN-MS-AR","365","140","201","22","2",".","164","90","55",".","11","131",".","223","."
"34100","Morristown, TN","241","153","73","15",".",".","140","90","46",".",".","241",".",".","."
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","365","168","169","27","1",".","156","93","53",".","9","165",".","191","."
"42940","Sevierville, TN","363","183","153","27",".",".","147","97","50",".",".","363",".",".","."
