"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"15980","Cape Coral-Fort Myers, FL","365","298","60","7",".",".","126","64","38",".",".","324",".","34","7"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","365","283","76","6",".",".","119","65","40",".",".","312",".","42","11"
"23540","Gainesville, FL","365","268","87","10",".",".","126","71","41",".",".","311",".","47","7"
"26140","Homosassa Springs, FL","122","90","32",".",".",".","75","57","35.5",".",".",".",".","122","."
"27260","Jacksonville, FL","365","142","183","36","4",".","189","101","55",".",".","145","97","123","."
"29380","Lake City, FL","359","272","83","4",".",".","122","77","41",".",".","359",".",".","."
"29460","Lakeland-Winter Haven, FL","365","267","85","12","1",".","159","77","41",".",".","308",".","46","11"
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","365","155","193","15","2",".","187","84","53",".","7","98","12","245","3"
"34940","Naples-Immokalee-Marco Island, FL","364","251","111","2",".",".","119","64","43",".",".","155",".","209","."
"35840","North Port-Sarasota-Bradenton, FL","365","258","93","13","1",".","154","80","43","1","1","315","1","37","10"
"36100","Ocala, FL","365","284","73","8",".",".","140","71","41",".",".","314",".","51","."
"36740","Orlando-Kissimmee-Sanford, FL","365","173","169","21","2",".","169","93","51",".","2","187",".","174","2"
"37260","Palatka, FL","365","342","21","2",".",".","105","41","23",".",".",".","43",".","322"
"37340","Palm Bay-Melbourne-Titusville, FL","365","270","87","7","1",".","156","71","43",".",".","313",".","52","."
"37460","Panama City, FL","365","237","111","17",".",".","147","80","44",".",".","305",".","54","6"
"37860","Pensacola-Ferry Pass-Brent, FL","365","144","180","39","2",".","159","102","54",".",".","171","32","162","."
"38940","Port St. Lucie, FL","364","245","118","1",".",".","112","64","43",".",".","128",".","236","."
"42680","Sebastian-Vero Beach, FL","339","248","83","8",".",".","150","74","43",".",".","339",".",".","."
"42700","Sebring, FL","364","290","65","9",".",".","136","71","38",".",".","364",".",".","."
"45220","Tallahassee, FL","365","130","226","9",".",".","126","84","55",".",".","108",".","257","."
"45300","Tampa-St. Petersburg-Clearwater, FL","365","100","200","61","4",".","167","112","61",".","1","129","98","128","9"
