"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","73","264","25","2","1","293","100","63",".",".","173",".","147","45"
"16100","Carlsbad-Artesia, NM","365","224","134","7",".",".","119","84","46",".",".","341",".","24","."
"19700","Deming, NM","365","299","57","5","1","3","610","58","41",".","14","291",".",".","60"
"21580","Espa¤ola, NM","112","108","4",".",".",".","84","25","9",".",".",".",".","112","."
"22140","Farmington, NM","365","231","116","18",".",".","143","84","47",".","25","318","10","10","2"
"23700","Gallup, NM","280","280",".",".",".",".","47","24","14",".",".",".",".",".","280"
"26020","Hobbs, NM","360","257","96","7",".",".","120","71","43",".","20","257",".","80","3"
"29740","Las Cruces, NM","365","124","211","22","3","5","786","95","58",".","9","192",".","26","138"
"31060","Los Alamos, NM","110","104","6",".",".",".","92","24","10",".",".",".",".","110","."
"40740","Roswell, NM","119","104","15",".",".",".","98","54","26",".",".",".",".","114","5"
"40760","Ruidoso, NM","105","99","6",".",".",".","79","47","16",".",".",".",".","105","."
"42140","Santa Fe, NM","365","295","69","1",".",".","109","61","44",".",".","343",".","22","."
"43500","Silver City, NM","363","309","51","3",".",".","126","54","43",".",".","331","15","11","6"
"45340","Taos, NM","364","345","19",".",".",".","85","38","14",".",".",".",".","340","24"
