"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10420","Akron, OH","365","278","84","3",".",".","115","61","43",".",".","176","1","188","."
"11780","Ashtabula, OH","358","334","23","1",".",".","112","47","34",".",".","245","113",".","."
"11900","Athens, OH","120","116","4",".",".",".","56","42","25",".",".",".",".","120","."
"15940","Canton-Massillon, OH","365","226","139",".",".",".","100","67","46",".",".","160",".","205","."
"17140","Cincinnati, OH-KY-IN","365","139","206","20",".",".","147","90","54",".","5","143","22","192","3"
"17460","Cleveland-Elyria, OH","365","185","173","7",".",".","119","74","50",".",".","136","2","214","13"
"18140","Columbus, OH","365","237","127","1",".",".","101","65","46",".","3","174",".","187","1"
"19380","Dayton, OH","365","213","152",".",".",".","94","67","47",".",".","190",".","174","1"
"26580","Huntington-Ashland, WV-KY-OH","365","299","66",".",".",".","77","54","42",".","1","183",".","180","1"
"30620","Lima, OH","364","303","61",".",".",".","97","56","39",".",".","208","32","124","."
"31930","Marietta, OH","245","219","26",".",".",".","87","51","41",".",".","245",".",".","."
"34540","Mount Vernon, OH","245","218","27",".",".",".","93","51","41",".",".","245",".",".","."
"38580","Point Pleasant, WV-OH","365","334","27","4",".",".","117","47","9",".",".",".","365",".","."
"39020","Portsmouth, OH","365","356","9",".",".",".","78","37","14",".",".",".","52","103","210"
"41400","Salem, OH","350","350",".",".",".",".","26","10.5","1",".",".",".","288",".","62"
"44220","Springfield, OH","365","220","143","2",".",".","105","64","45",".",".","150","3","212","."
"45780","Toledo, OH","365","291","73","1",".",".","143","61","40",".",".","195","15","155","."
"47920","Washington Court House, OH","355","332","23",".",".",".","74","48","38",".",".","355",".",".","."
"48260","Weirton-Steubenville, WV-OH","365","217","144","4",".",".","123","65","46",".",".","119","29","216","1"
"48540","Wheeling, WV-OH","365","318","47",".",".",".","77","54","39","2","66","218","15","64","."
"48940","Wilmington, OH","244","203","41",".",".",".","100","58","43",".",".","244",".",".","."
"49660","Youngstown-Warren-Boardman, OH-PA","365","276","89",".",".",".","100","60","42",".",".","221",".","144","."
