"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"15980","Cape Coral-Fort Myers, FL","363","325","38",".",".",".","90","51","37",".",".","259",".","100","4"
"18880","Crestview-Fort Walton Beach-Destin, FL","365","345","20",".",".",".","87","48","35",".",".","343",".",".","22"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","361","322","39",".",".",".","95","51","38",".",".","271",".","89","1"
"23540","Gainesville, FL","355","316","39",".",".",".","92","53","37",".",".","214",".","141","."
"26140","Homosassa Springs, FL","352","290","62",".",".",".","95","57","35",".",".",".","12","340","."
"27260","Jacksonville, FL","365","271","93","1",".",".","101","62","42","1","2","182","7","172","1"
"29380","Lake City, FL","363","297","66",".",".",".","100","57","38",".",".","184",".","179","."
"29460","Lakeland-Winter Haven, FL","365","295","66","4",".",".","143","57","40",".",".","199","2","163","1"
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","358","213","137","8",".",".","143","67","47",".","5","74",".","263","16"
"34940","Naples-Immokalee-Marco Island, FL","357","324","33",".",".",".","93","50","36",".",".","219",".","138","."
"35840","North Port-Sarasota-Bradenton, FL","365","285","77","3",".",".","133","58","41",".",".","212","1","152","."
"36100","Ocala, FL","351","302","48","1",".",".","101","52","38",".",".","208",".","143","."
"36740","Orlando-Kissimmee-Sanford, FL","365","268","94","3",".",".","147","63","43",".","11","215",".","138","1"
"37260","Palatka, FL","348","346","2",".",".",".","53","28","15",".",".",".","19",".","329"
"37340","Palm Bay-Melbourne-Titusville, FL","352","315","37",".",".",".","97","51","39",".",".","237",".","115","."
"37460","Panama City, FL","365","303","62",".",".",".","96","57","40",".",".","204",".","161","."
"37860","Pensacola-Ferry Pass-Brent, FL","365","281","81","3",".",".","115","59","43",".",".","220",".","145","."
"38940","Port St. Lucie, FL","356","310","45","1",".",".","115","52","38.5",".",".","213",".","143","."
"42680","Sebastian-Vero Beach, FL","302","274","27","1",".",".","101","50","38",".",".","302",".",".","."
"42700","Sebring, FL","334","319","15",".",".",".","90","46","31.5",".",".","334",".",".","."
"45220","Tallahassee, FL","363","258","105",".",".",".","92","60","41","2",".","126",".","235","."
"45300","Tampa-St. Petersburg-Clearwater, FL","365","252","109","4",".",".","150","66","45",".",".","185","8","171","1"
