"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14010","Bloomington, IL","365","263","92","9","1",".","166","84","39",".",".","317",".","48","."
"16060","Carbondale-Marion, IL","58","57","1",".",".",".","56","33","20",".",".",".",".",".","58"
"16580","Champaign-Urbana, IL","365","251","100","14",".",".","140","80","42",".",".","298",".","67","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","19","275","61","9","1","203","116","77",".","101","69","66","121","8"
"19340","Davenport-Moline-Rock Island, IA-IL","365","110","240","14","1",".","152","87","59",".",".","79",".","214","72"
"19500","Decatur, IL","365","179","174","12",".",".","129","80","51",".",".","149","19","197","."
"20820","Effingham, IL","223","150","61","12",".",".","129","87","45",".",".","223",".",".","."
"22800","Fort Madison-Keokuk, IA-IL-MO","118","60","58",".",".",".","96","71","49",".",".",".",".","118","."
"34500","Mount Vernon, IL","316","130","175","11",".",".","147","88","54",".",".","91",".","225","."
"36860","Ottawa-Peru, IL","365","161","143","44","17",".","200","123","53",".",".",".","86","257","22"
"37140","Paducah, KY-IL","365","176","160","29",".",".","143","93","51",".","24","128","27","186","."
"37900","Peoria, IL","365","130","191","37","7",".","200","105","58","1",".","112","84","168","."
"39500","Quincy, IL-MO","334","263","65","6",".",".","140","67","38",".",".","302","5","27","."
"40420","Rockford, IL","365","287","71","7",".",".","122","67","36","1",".","298",".","66","."
"41180","St. Louis, MO-IL","365","43","199","84","38","1","208","151","80",".","2","86","144","120","13"
"44100","Springfield, IL","365","261","80","23","1",".","156","84","37","3",".","247","60","55","."
