"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"16180","Carson City, NV","365","320","44","1",".",".","105","58","36","151",".","214",".",".","."
"21220","Elko, NV","305","285","20",".",".",".","79","45","24",".",".",".",".","36","269"
"21980","Fallon, NV","197","134","61","2",".",".","105","71","46",".",".","197",".",".","."
"22280","Fernley, NV","112","86","26",".",".",".","90","61","45",".",".","112",".",".","."
"23820","Gardnerville Ranchos, NV","349","348","1",".",".",".","51","20","10","349",".",".",".",".","."
"29820","Las Vegas-Henderson-Paradise, NV","365","101","215","43","6",".","163","108","63",".","11","226",".","99","29"
"37220","Pahrump, NV","365","321","39","3","2",".","200","53","30",".",".",".",".",".","365"
"39900","Reno, NV","365","216","138","11",".",".","115","80","48",".","97","238",".","21","9"
