"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"12700","Barnstable Town, MA","233","177","40","15","1",".","169","80","38",".",".","168",".","65","."
"14460","Boston-Cambridge-Newton, MA-NH","365","129","199","29","8",".","195","101","56",".","12","74","20","259","."
"38340","Pittsfield, MA","363","239","100","22","2",".","169","87","38",".",".","118",".","245","."
"39300","Providence-Warwick, RI-MA","365","205","128","26","6",".","187","96","48",".","15","140","47","163","."
"44140","Springfield, MA","365","192","142","22","7","2","207","90","48",".","5","151","2","207","."
"47240","Vineyard Haven, MA","232","178","48","3","3",".","172","74","39",".",".","166",".","66","."
"49340","Worcester, MA-CT","365","236","99","20","10",".","177","87","43",".","11","226",".","126","2"
