"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"17700","Coffeyville, KS","342","340","2",".",".",".","56","19","7",".",".",".","342",".","."
"19980","Dodge City, KS","365","365",".",".",".",".","49","28","14",".",".",".",".",".","365"
"21380","Emporia, KS","121","109","11","1",".",".","138","50","23",".",".",".",".","121","."
"28140","Kansas City, MO-KS","365","111","213","41",".",".","147","101","59",".","6","136","59","161","3"
"31740","Manhattan, KS","360","313","45","2",".",".","136","58","38",".",".","360",".",".","."
"41140","St. Joseph, MO-KS","355","201","148","6",".",".","136","74","47",".",".","114",".","227","14"
"45820","Topeka, KS","365","282","81","2",".",".","140","61","40",".",".","259",".","39","67"
"48620","Wichita, KS","365","240","112","13",".",".","122","74","44",".","13","297",".","38","17"
