"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"12700","Barnstable Town, MA","358","332","21","5",".",".","150","48","37",".",".","350",".","8","."
"14460","Boston-Cambridge-Newton, MA-NH","365","178","182","5",".",".","147","68","51",".","1","99",".","265","."
"24640","Greenfield Town, MA","365","332","33",".",".",".","90","48","35",".",".","272",".","93","."
"38340","Pittsfield, MA","346","298","48",".",".",".","86","53","35",".",".",".",".","346","."
"39300","Providence-Warwick, RI-MA","365","261","97","5","2",".","151","62","43",".","14","200",".","151","."
"44140","Springfield, MA","365","299","61","5",".",".","122","58","40",".","2","271",".","92","."
"47240","Vineyard Haven, MA","359","341","14","2","2",".","177","46","37",".",".","353",".","6","."
"49340","Worcester, MA-CT","365","323","37","5",".",".","143","53","38",".","18","284",".","63","."
