"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14020","Bloomington, IN","183","90","70","23",".",".","147","108","51",".",".","183",".",".","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","40","231","68","24","2","208","130","77",".","45","77","77","157","9"
"17140","Cincinnati, OH-KY-IN","365","98","157","88","19","3","208","139","73",".","28","112","165","60","."
"21140","Elkhart-Goshen, IN","241","100","115","21","5",".","172","101","56",".",".","163",".","78","."
"21780","Evansville, IN-KY","365","72","195","93","5",".","177","124","71",".",".","68","157","140","."
"23060","Fort Wayne, IN","365","165","163","32","5",".","164","101","53","6",".","102",".","256","1"
"26540","Huntington, IN","171","95","60","16",".",".","140","97","48",".",".","171",".",".","."
"26900","Indianapolis-Carmel-Anderson, IN","365","65","207","85","8",".","182","126","72",".","9","86","104","165","1"
"27540","Jasper, IN","365","225","112","25","3",".","161","89","30",".",".",".","271","94","."
"29020","Kokomo, IN","111","43","65","3",".",".","121","86","54",".",".",".",".","111","."
"29200","Lafayette-West Lafayette, IN","305","136","149","19","1",".","154","91","54",".",".","94",".","211","."
"31140","Louisville/Jefferson County, KY-IN","365","58","202","96","9",".","189","133","72",".","2","86","124","153","."
"31500","Madison, IN","178","164","11","3",".",".","109","49","20",".",".",".","178",".","."
"33140","Michigan City-La Porte, IN","365","235","102","24","4",".","179","97","39",".",".","157","124","84","."
"34620","Muncie, IN","216","93","99","21","3",".","182","103","54.5",".",".","132",".","84","."
"35220","New Castle, IN","111","47","58","5","1",".","155","87","53",".",".",".",".","111","."
"39980","Richmond, IN","365","252","92","21",".",".","134","86","27",".",".",".","365",".","."
"42980","Seymour, IN","183","91","69","23",".",".","150","108","51",".",".","183",".",".","."
"43780","South Bend-Mishawaka, IN-MI","333","180","114","33","6",".","177","105","47",".","94","165",".","74","."
"45460","Terre Haute, IN","365","187","133","44","1",".","187","105","50",".",".","118","180","67","."
"47180","Vincennes, IN","351","237","92","22",".",".","140","84","44",".",".","271",".","80","."
"47340","Wabash, IN","358","274","67","17",".",".","126","84","36.5",".",".","358",".",".","."
"47780","Washington, IN","355","284","54","17",".",".","115","75","19",".",".",".","355",".","."
