"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13220","Beckley, WV","118","76","41","1",".",".","108","72","41.5",".",".",".",".","118","."
"16620","Charleston, WV","365","178","162","24","1",".","159","90","52",".",".","120","145","89","11"
"17220","Clarksburg, WV","118","55","61","2",".",".","102","75","52",".",".",".",".","118","."
"21900","Fairmont, WV","121","50","70","1",".",".","119","80","54",".",".",".",".","121","."
"25180","Hagerstown-Martinsburg, MD-WV","274","155","102","16","1",".","159","90","48",".",".","173",".","101","."
"26580","Huntington-Ashland, WV-KY-OH","365","160","171","30","4",".","171","94","53",".","9","157","124","74","1"
"34060","Morgantown, WV","365","216","105","41","3",".","166","108","44",".",".","120","162","83","."
"37620","Parkersburg-Vienna, WV","365","194","147","23","1",".","154","90","48",".",".","125","168","72","."
"38580","Point Pleasant, WV-OH","346","290","44","12",".",".","133","70","20",".",".",".","346",".","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","140","169","35","18","3","221","115","57","1","40","153","18","151","2"
"48260","Weirton-Steubenville, WV-OH","365","54","187","118","6",".","174","119","80","2",".","48","278","36","1"
"48540","Wheeling, WV-OH","365","94","193","77","1",".","161","112","65",".",".","56","174","135","."
"49020","Winchester, VA-WV","240","180","52","7","1",".","156","77","43",".",".","205",".",".","35"
