"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11660","Arkadelphia, AR","355","351","4",".",".",".","54","45","34",".",".","355",".",".","."
"20980","El Dorado, AR","366","341","24",".","1",".","158","46","4",".",".",".","246","120","."
"22220","Fayetteville-Springdale-Rogers, AR-MO","366","338","28",".",".",".","77","49","38",".",".","323",".","43","."
"22900","Fort Smith, AR-OK","361","331","30",".",".",".","74","49","37",".","56","232",".","67","6"
"25460","Harrison, AR","366","350","16",".",".",".","90","47","37",".",".","343",".","23","."
"26300","Hot Springs, AR","119","97","22",".",".",".","67","53","36",".",".",".",".","119","."
"30780","Little Rock-North Little Rock-Conway, AR","366","257","109",".",".",".","100","60","44",".","4","163",".","199","."
"32820","Memphis, TN-MS-AR","366","261","97","7","1",".","159","67","43.5",".","8","232",".","126","."
"45500","Texarkana, TX-AR","273","221","52",".",".",".","76","54","36",".",".",".",".","273","."
