"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13740","Billings, MT","365","272","90","3",".",".","115","69","33","3",".",".","258","104","."
"14580","Bozeman, MT","365","287","77","1",".",".","108","64","33",".",".",".",".","365","."
"15580","Butte-Silver Bow, MT","364","296","62","6",".",".","138","59","30",".",".",".",".","192","172"
"24500","Great Falls, MT","365","310","55",".",".",".","68","54","32","35",".",".",".","330","."
"25740","Helena, MT","358","306","49","3",".",".","143","55","26",".",".",".",".","358","."
"28060","Kalispell, MT","365","229","136",".",".",".","99","62","47","1",".","97",".","264","3"
"33540","Missoula, MT","364","272","73","17","2",".","153","74","33","4",".",".",".","346","14"
