"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14500","Boulder, CO","359","191","133","31","4",".","172","100","48",".",".","336",".","21","2"
"14720","Breckenridge, CO","123","119","4",".",".",".","64","31","12",".",".",".",".",".","123"
"15860","Ca¤on City, CO","57","56","1",".",".",".","54","30","15",".",".",".",".",".","57"
"17820","Colorado Springs, CO","366","210","136","20",".",".","129","90","48",".",".","363",".","2","1"
"18780","Craig, CO","361","266","94","1",".",".","105","64","44",".",".","361",".",".","."
"19740","Denver-Aurora-Lakewood, CO","366","110","186","63","7",".","190","115","62.5",".","65","259","5","27","10"
"20420","Durango, CO","366","218","146","2",".",".","108","80","48",".","2","361",".","1","2"
"22660","Fort Collins, CO","366","166","150","45","5",".","172","105","54",".",".","356",".","8","2"
"24060","Glenwood Springs, CO","366","142","171","53",".",".","150","105","61",".",".","365",".",".","1"
"24300","Grand Junction, CO","366","200","155","11",".",".","122","87","48",".",".","337",".","19","10"
"24540","Greeley, CO","366","204","142","18","2",".","161","90","48","2",".","335",".","28","1"
"39380","Pueblo, CO","133","127","6",".",".",".","80","44","24",".",".",".",".","89","44"
"44460","Steamboat Springs, CO","353","346","7",".",".",".","85","32","15",".",".",".",".",".","353"
