"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"22380","Flagstaff, AZ","363","237","122","4",".",".","136","74","46",".",".","341",".","7","15"
"29420","Lake Havasu City-Kingman, AZ","118","118",".",".",".",".","38","26","14",".",".",".",".","68","50"
"35700","Nogales, AZ","165","100","59","6",".",".","119","84","42",".",".",".",".","33","132"
"37740","Payson, AZ","365","68","154","120","23",".","200","137","84",".",".","49","286",".","30"
"38060","Phoenix-Mesa-Scottsdale, AZ","365","59","247","55","2","2","1657","112","74",".","38","138",".","22","167"
"39140","Prescott, AZ","263","219","43","1",".",".","122","61","42",".",".","209",".","53","1"
"43320","Show Low, AZ","364","279","83","2",".",".","112","61","44",".",".","360",".","1","3"
"43420","Sierra Vista-Douglas, AZ","363","258","101","4",".",".","112","67","45",".",".","336",".","22","5"
"46060","Tucson, AZ","365","208","152","5",".",".","141","80","49",".","4","290",".","5","66"
"49740","Yuma, AZ","358","261","89","8",".",".","147","80","40",".",".","186",".","14","158"
