"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11180","Ames, IA","214","190","24",".",".",".","90","51","37",".",".","214",".",".","."
"16300","Cedar Rapids, IA","365","220","134","11",".",".","149","76","45",".",".","104","54","205","2"
"17540","Clinton, IA","365","184","177","4",".",".","124","71","50",".",".","92","1","272","."
"19340","Davenport-Moline-Rock Island, IA-IL","365","119","242","4",".",".","111","78","56",".",".","42",".","222","101"
"19780","Des Moines-West Des Moines, IA","365","285","80",".",".",".","100","59","38",".","27","116",".","219","3"
"22800","Fort Madison-Keokuk, IA-IL-MO","121","83","38",".",".",".","97","64","36",".",".",".",".","121","."
"26980","Iowa City, IA","364","262","101","1",".",".","108","61","35",".",".",".",".","359","5"
"32380","Mason City, IA","348","346","2",".",".",".","52","31","16",".",".",".",".",".","348"
"34700","Muscatine, IA","365","171","138","50","6",".","171","111","53",".",".",".","123","241","1"
"36540","Omaha-Council Bluffs, NE-IA","365","217","145","3",".",".","114","71","46",".",".","143","18","138","66"
"43580","Sioux City, IA-NE-SD","365","293","70","2",".",".","108","58","37",".",".","172",".","178","15"
"47940","Waterloo-Cedar Falls, IA","364","182","181","1",".",".","117","69","50.5",".",".","74",".","290","."
