"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10500","Albany, GA","116","52","64",".",".",".","100","73","53",".",".",".",".","111","5"
"11140","Americus, GA","243","153","80","9","1",".","156","87","47",".",".","243",".",".","."
"12020","Athens-Clarke County, GA","365","135","200","25","5",".","161","100","57",".",".","132",".","233","."
"12060","Atlanta-Sandy Springs-Roswell, GA","365","53","220","62","23","7","217","140","72",".","7","128","29","201","."
"12260","Augusta-Richmond County, GA-SC","365","127","213","22","3",".","169","93","58",".",".","153",".","212","."
"15260","Brunswick, GA","282","206","75","1",".",".","122","64","43",".",".","192",".","88","2"
"16860","Chattanooga, TN-GA","293","123","139","27","4",".","169","101","54",".",".","195",".","93","5"
"17980","Columbus, GA-AL","365","137","211","14","3",".","154","89","58",".",".","98",".","267","."
"19140","Dalton, GA","265","144","109","12",".",".","150","93","49",".",".","208",".","57","."
"20060","Douglas, GA","58","23","35",".",".",".","84","73","54.5",".",".",".",".","58","."
"21640","Eufaula, AL-GA","11","6","5",".",".",".","77","63","35",".",".",".",".","11","."
"23580","Gainesville, GA","110","44","66",".",".",".","89","74","54",".",".",".",".","110","."
"31420","Macon, GA","365","132","209","21","3",".","164","97","58",".",".","109","8","248","."
"33300","Milledgeville, GA","353","302","42","9",".",".","141","59","7",".",".",".","353",".","."
"40660","Rome, GA","358","231","116","10","1",".","155","78","31",".",".",".","252","106","."
"42340","Savannah, GA","365","125","230","10",".",".","145","82","57",".",".","27","57","281","."
"44900","Summerville, GA","263","194","60","9",".",".","143","74","44",".",".","243",".",".","20"
"46660","Valdosta, GA","61","29","32",".",".",".","81","65","52",".",".",".",".","61","."
"47580","Warner Robins, GA","60","18","42",".",".",".","87","72.5","55.5",".",".",".",".","60","."
