"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11620","Ardmore, OK","348","179","151","18",".",".","147","87","49",".",".","170",".","178","."
"22900","Fort Smith, AR-OK","363","261","86","14","2",".","156","77","41",".","43","229",".","65","26"
"30020","Lawton, OK","366","203","151","10","2",".","151","80","48",".",".","222",".","144","."
"32540","McAlester, OK","366","186","169","11",".",".","147","77","50",".",".","192",".","174","."
"33060","Miami, OK","363","230","116","15","2",".","161","77","45",".",".","154",".","204","5"
"34780","Muskogee, OK","333","303","29","1",".",".","103","49","27",".",".",".","52",".","281"
"36420","Oklahoma City, OK","366","154","173","36","3",".","164","101","54",".","18","199",".","147","2"
"38620","Ponca City, OK","361","209","133","18","1",".","159","87","47",".",".","187","57","117","."
"45140","Tahlequah, OK","283","188","79","16",".",".","140","87","44",".",".","283",".",".","."
"46140","Tulsa, OK","366","135","183","42","5","1","201","108","56",".",".","177","41","141","7"
