"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11700","Asheville, NC","363","282","80","1",".",".","101","64","42",".",".","181",".","182","."
"14380","Boone, NC","226","208","18",".",".",".","83","46","23",".",".",".",".","226","."
"15500","Burlington, NC","153","139","14",".",".",".","63","50","32",".",".",".",".","153","."
"16740","Charlotte-Concord-Gastonia, NC-SC","365","192","162","11",".",".","129","77","49",".","3","204",".","158","."
"19000","Cullowhee, NC","257","199","58",".",".",".","100","61","43",".",".","203",".","54","."
"20500","Durham-Chapel Hill, NC","365","256","109",".",".",".","87","62","42",".",".","157","5","202","1"
"22180","Fayetteville, NC","311","256","55",".",".",".","93","56","40",".",".","180","6","125","."
"24140","Goldsboro, NC","197","126","71",".",".",".","86","65","43",".",".",".",".","197","."
"24660","Greensboro-High Point, NC","364","277","86","1",".",".","112","61","42",".",".","181",".","183","."
"24780","Greenville, NC","258","225","33",".",".",".","80","54","39",".",".","192",".","66","."
"25860","Hickory-Lenoir-Morganton, NC","362","242","120",".",".",".","97","63","45",".",".","153",".","209","."
"28820","Kinston, NC","209","185","24",".",".",".","80","51","41",".",".","209",".",".","."
"32000","Marion, NC","337","293","44",".",".",".","88","52","31",".",".",".",".","337","."
"33980","Morehead City, NC","318","300","18",".",".",".","71","46","37",".",".","318",".",".","."
"37080","Oxford, NC","215","168","47",".",".",".","87","64","44",".",".","215",".",".","."
"39580","Raleigh, NC","365","228","134","3",".",".","105","67","46",".","2","175",".","188","."
"40580","Rocky Mount, NC","347","304","43",".",".",".","77","52","36",".",".","160",".","187","."
"41820","Sanford, NC","364","248","116",".",".",".","93","60","44",".",".","172",".","192","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","281","84",".",".",".","93","61","40",".","25","183","8","149","."
"47820","Washington, NC","347","346","1",".",".",".","54","11","0",".",".",".","347",".","."
"48900","Wilmington, NC","359","331","28",".",".",".","71","48","33",".",".","169","11","179","."
"49180","Winston-Salem, NC","365","195","167","3",".",".","126","73","49",".","3","137",".","225","."
