"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11700","Asheville, NC","363","247","116",".",".",".","100","64","44",".",".","144",".","219","."
"14380","Boone, NC","117","101","16",".",".",".","67","54","30",".",".",".",".","117","."
"15500","Burlington, NC","360","254","106",".",".",".","75","59","42",".",".",".",".","360","."
"16740","Charlotte-Concord-Gastonia, NC-SC","365","170","185","10",".",".","133","79","52",".","2","145","2","216","."
"19000","Cullowhee, NC","257","212","45",".",".",".","87","56","43",".",".","183",".","74","."
"20500","Durham-Chapel Hill, NC","348","245","101","2",".",".","101","64","44",".",".","121",".","227","."
"22180","Fayetteville, NC","365","238","124","3",".",".","122","65","45",".",".","112","3","250","."
"24140","Goldsboro, NC","359","262","97",".",".",".","81","60","38",".",".",".",".","359","."
"24660","Greensboro-High Point, NC","364","239","120","5",".",".","115","67","45",".",".","121",".","243","."
"24780","Greenville, NC","269","230","39",".",".",".","90","55","39",".",".","196",".","73","."
"25860","Hickory-Lenoir-Morganton, NC","365","224","141",".",".",".","93","65","45",".",".","94",".","271","."
"28820","Kinston, NC","281","237","44",".",".",".","90","55","38",".",".","201",".","80","."
"31300","Lumberton, NC","117","88","29",".",".",".","68","57","36",".",".",".",".","117","."
"32000","Marion, NC","364","258","106",".",".",".","78","58","38",".",".",".",".","364","."
"33980","Morehead City, NC","309","291","18",".",".",".","93","48","35",".",".","309",".",".","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","147","143","4",".",".",".","55","37","22",".",".",".",".",".","147"
"37080","Oxford, NC","214","170","41","3",".",".","108","71","43",".",".","214",".",".","."
"39580","Raleigh, NC","365","215","147","3",".",".","112","69","47",".",".","140","1","224","."
"40580","Rocky Mount, NC","269","216","52","1",".",".","101","59","40",".",".","202",".","67","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","240","125",".",".",".","100","64","44",".","14","125","34","192","."
"47820","Washington, NC","358","357","1",".",".",".","52","14","1",".",".",".","358",".","."
"48900","Wilmington, NC","365","232","118","15",".",".","120","77","43",".",".","75","131","159","."
"49180","Winston-Salem, NC","365","191","171","2","1",".","164","71","49",".","12","77",".","276","."
