"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10420","Akron, OH","365","177","187","1",".",".","135","75","52","1",".","50","2","312","."
"11780","Ashtabula, OH","365","319","43","3",".",".","143","54","31",".",".","208","157",".","."
"11900","Athens, OH","57","50","7",".",".",".","67","54","28",".",".",".",".","57","."
"15940","Canton-Massillon, OH","365","271","87","7",".",".","108","67","40","1",".","132",".","232","."
"17140","Cincinnati, OH-KY-IN","365","156","196","12","1",".","151","84","52",".","30","125","17","188","5"
"17460","Cleveland-Elyria, OH","365","140","205","19","1",".","156","90","55","1","8","89","57","184","26"
"18140","Columbus, OH","365","231","129","5",".",".","112","67","44",".","35","139",".","190","1"
"19380","Dayton, OH","365","231","125","9",".",".","119","71","45",".",".","185","2","178","."
"26580","Huntington-Ashland, WV-KY-OH","365","238","123","4",".",".","112","70","45",".","1","122","3","238","1"
"30620","Lima, OH","365","314","50","1",".",".","105","54","34",".",".","190","2","173","."
"31930","Marietta, OH","214","181","32","1",".",".","115","61","40",".",".","214",".",".","."
"34540","Mount Vernon, OH","210","178","28","4",".",".","119","61","40",".",".","210",".",".","."
"39020","Portsmouth, OH","365","342","23",".",".",".","92","44","17",".",".",".","47","111","207"
"41400","Salem, OH","364","364",".",".",".",".","50","18","3",".",".",".","306",".","58"
"44220","Springfield, OH","365","238","120","7",".",".","133","68","44",".",".","134",".","231","."
"45780","Toledo, OH","365","268","96","1",".",".","113","64","41",".",".","143","1","221","."
"47920","Washington Court House, OH","327","294","30","3",".",".","115","51","37",".",".","327",".",".","."
"48260","Weirton-Steubenville, WV-OH","365","153","203","9",".",".","117","77","53",".",".","88","33","242","2"
"48540","Wheeling, WV-OH","365","238","125","2",".",".","112","65","44",".","6","122","14","223","."
"48940","Wilmington, OH","214","182","29","3",".",".","119","61","41",".",".","214",".",".","."
"49660","Youngstown-Warren-Boardman, OH-PA","365","194","166","4","1",".","152","73","49",".",".","173","2","190","."
