"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11100","Amarillo, TX","365","321","44",".",".",".","87","51","38",".",".","209",".","156","."
"12420","Austin-Round Rock, TX","365","246","111","7","1",".","169","69","43",".",".","184",".","181","."
"13140","Beaumont-Port Arthur, TX","365","126","195","41","3",".","181","101","56",".","2","108","75","180","."
"15180","Brownsville-Harlingen, TX","363","237","125","1",".",".","101","65","43","3",".","74",".","282","4"
"18580","Corpus Christi, TX","365","237","125","3",".",".","126","70","44",".",".","109","4","250","2"
"19100","Dallas-Fort Worth-Arlington, TX","365","135","178","41","9","2","217","112","56",".","25","149","31","160","."
"20580","Eagle Pass, TX","315","252","63",".",".",".","82","59","35",".",".",".",".","315","."
"21340","El Paso, TX","365","95","225","45",".",".","136","103","62",".","14","143",".","165","43"
"26420","Houston-The Woodlands-Sugar Land, TX","365","54","251","41","19",".","200","122","65",".","16","96","42","190","21"
"28780","Kingsville, TX","365","246","111","8",".",".","133","72","41",".",".","72",".","293","."
"29700","Laredo, TX","365","228","137",".",".",".","100","65","45","2",".","59",".","280","24"
"30980","Longview, TX","365","294","55","14","2",".","164","77","35",".","8","328","29",".","."
"32220","Marshall, TX","365","237","125","3",".",".","132","67","44",".",".","142",".","223","."
"32580","McAllen-Edinburg-Mission, TX","365","228","136","1",".",".","101","67","44",".",".","69",".","292","4"
"36220","Odessa, TX","365","299","66",".",".",".","75","54","31",".",".",".",".","365","."
"41700","San Antonio-New Braunfels, TX","365","209","148","7","1",".","157","70","48",".","20","123",".","217","5"
"45500","Texarkana, TX-AR","122","69","53",".",".",".","85","68","48",".",".",".",".","122","."
"46340","Tyler, TX","353","286","54","13",".",".","143","74","37",".","10","343",".",".","."
"47020","Victoria, TX","361","332","28","1",".",".","101","48","31",".",".","361",".",".","."
"47380","Waco, TX","256","152","96","8",".",".","122","71","44.5",".",".","95",".","161","."
"48660","Wichita Falls, TX","313","258","55",".",".",".","77","54","31",".",".",".",".","313","."
