"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"30860","Logan, UT-ID","365","221","106","23","15",".","167","105","47",".","74","143",".","144","4"
"36260","Ogden-Clearfield, UT","365","200","132","25","7","1","203","95","49","6","149","165","1","30","14"
"39340","Provo-Orem, UT","365","221","122","18","3","1","207","90","46",".","126","139",".","94","6"
"41100","St. George, UT","355","233","101","17","3","1","204","84","46",".",".","353",".","2","."
"41620","Salt Lake City, UT","365","163","140","54","8",".","187","117","54",".","93","117","18","124","13"
"46860","Vernal, UT","45","45",".",".",".",".","19","13","5",".",".",".",".",".","45"
