"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"12700","Barnstable Town, MA","363","351","12",".",".",".","84","45","35",".",".","354",".","9","."
"14460","Boston-Cambridge-Newton, MA-NH","365","203","157","5",".",".","112","66","48",".","12","115","2","234","2"
"24640","Greenfield Town, MA","338","262","76",".",".",".","90","59","40",".",".","154",".","184","."
"38340","Pittsfield, MA","364","242","122",".",".",".","92","63","44",".",".","131",".","233","."
"39300","Providence-Warwick, RI-MA","365","259","103","3",".",".","121","61","44",".","18","184",".","161","2"
"44140","Springfield, MA","365","247","118",".",".",".","100","63","43",".",".","170",".","195","."
"47240","Vineyard Haven, MA","358","339","19",".",".",".","87","45","35",".",".","339",".","19","."
"49340","Worcester, MA-CT","365","289","74","2",".",".","115","59","40",".","10","253",".","98","4"
