"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","334","207","110","17",".",".","133","93","45",".",".","334",".",".","."
"16820","Charlottesville, VA","60","60",".",".",".",".","49","28.5","18",".",".",".",".",".","60"
"25500","Harrisonburg, VA","365","258","103","4",".",".","136","72","41",".","111","169","6","79","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","94","157","102","12",".","200","120","77",".","13","123","200","29","."
"31340","Lynchburg, VA","114","57","56","1",".",".","120","72","50.5",".",".",".",".","114","."
"40060","Richmond, VA","365","142","173","43","7",".","179","112","56",".","39","148","56","122","."
"40220","Roanoke, VA","365","175","180","9","1",".","151","83","52","2","29","86","1","246","1"
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","176","165","22","2",".","174","92","51",".","15","139","70","140","1"
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","135","164","49","16","1","205","126","59",".","46","166","13","139","1"
"49020","Winchester, VA-WV","246","162","77","7",".",".","140","80","44",".",".","208",".","16","22"
