"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13540","Bennington, VT","365","345","20",".",".",".","94","46","35",".",".","305",".","60","."
"13620","Berlin, NH-VT","324","314","10",".",".",".","64","47","40",".",".","304",".","20","."
"15540","Burlington-South Burlington, VT","365","335","30",".",".",".","80","49","37",".",".","278",".","87","."
"17200","Claremont-Lebanon, NH-VT","365","352","13",".",".",".","60","44","33",".",".","306",".","59","."
"40860","Rutland, VT","365","322","43",".",".",".","88","53","36",".","1","233",".","130","1"
