"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14540","Bowling Green, KY","365","280","85",".",".",".","100","60","40",".",".","153",".","212","."
"17140","Cincinnati, OH-KY-IN","365","163","189","11","2",".","159","77","52",".","6","136","5","214","4"
"17300","Clarksville, TN-KY","365","289","76",".",".",".","90","58","40",".",".","222",".","143","."
"21060","Elizabethtown-Fort Knox, KY","361","269","92",".",".",".","100","61","40",".",".","116",".","245","."
"21780","Evansville, IN-KY","365","204","146","15",".",".","143","80","47",".",".","149","56","160","."
"26580","Huntington-Ashland, WV-KY-OH","365","291","72","2",".",".","119","58","40",".","1","158","2","204","."
"30460","Lexington-Fayette, KY","365","266","99",".",".",".","90","61","40",".","12","119","1","232","1"
"31140","Louisville/Jefferson County, KY-IN","365","205","149","9","2",".","166","77","48",".","10","150",".","205","."
"33180","Middlesborough, KY","256","231","25",".",".",".","84","50","39",".",".","224",".","32","."
"36980","Owensboro, KY","357","270","86","1",".",".","112","59","40",".","15","149","4","189","."
"37140","Paducah, KY-IL","365","244","121",".",".",".","100","61","43",".","1","145",".","219","."
"43700","Somerset, KY","282","243","39",".",".",".","74","54","38",".",".","214",".","68","."
