"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10300","Adrian, MI","177","116","46","13","2",".","159","97","45",".",".","177",".",".","."
"11460","Ann Arbor, MI","364","258","88","17","1",".","156","74","40",".",".","293",".","71","."
"13020","Bay City, MI","112","72","40",".",".",".","89","66","38",".",".",".",".","112","."
"15620","Cadillac, MI","364","300","45","13","6",".","182","74","37",".",".","330",".","34","."
"19820","Detroit-Warren-Dearborn, MI","365","113","198","45","9",".","187","110","61",".","13","79","67","192","14"
"22420","Flint, MI","292","202","75","13","2",".","161","84","42",".",".","166","52","74","."
"24340","Grand Rapids-Wyoming, MI","364","191","149","18","6",".","169","90","49.5",".","12","137",".","215","."
"26090","Holland, MI","241","146","68","21","4","2","204","112","45",".",".","176",".","65","."
"26340","Houghton, MI","110","103","7",".",".",".","68","37.5","11",".",".",".",".","110","."
"27020","Iron Mountain, MI-WI","208","185","20","3",".",".","143","54","37",".",".","208",".",".","."
"28020","Kalamazoo-Portage, MI","239","133","91","15",".",".","147","93","48",".",".","157",".","82","."
"29620","Lansing-East Lansing, MI","239","148","77","14",".",".","150","84","45",".",".","163",".","76","."
"31220","Ludington, MI","183","132","33","16","2",".","177","100","42",".",".","183",".",".","."
"33780","Monroe, MI","118","55","60","3",".",".","112","75","52",".",".",".",".","118","."
"34740","Muskegon, MI","356","214","120","18","4",".","169","80","44",".",".","129",".","227","."
"35660","Niles-Benton Harbor, MI","241","140","75","22","3","1","201","101","47",".",".","170",".","71","."
"42300","Sault Ste. Marie, MI","107","59","46","2",".",".","136","71","43",".",".",".",".","107","."
"43780","South Bend-Mishawaka, IN-MI","365","171","175","16","3",".","151","93","52",".","7","134",".","224","."
"45900","Traverse City, MI","183","128","38","16","1",".","156","100","42",".",".","183",".",".","."
