"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","153","162","43","7",".","184","108","55",".","14","106","64","181","."
"11020","Altoona, PA","365","298","62","5",".",".","122","64","38",".","100","191","70",".","4"
"16540","Chambersburg-Waynesboro, PA","212","122","72","18",".",".","129","97","47.5",".",".","212",".",".","."
"20180","DuBois, PA","203","151","46","6",".",".","126","84","41",".",".","203",".",".","."
"20700","East Stroudsburg, PA","207","168","32","6","1",".","151","74","39",".",".","207",".",".","."
"21500","Erie, PA","365","218","125","20","2",".","182","84","45",".","22","133","41","169","."
"23900","Gettysburg, PA","364","202","135","27",".",".","143","97","48",".",".","211",".","153","."
"25420","Harrisburg-Carlisle, PA","365","152","179","33","1",".","151","97","56",".","26","119","16","204","."
"26860","Indiana, PA","361","231","102","28",".",".","140","94","42",".","32","175","154",".","."
"27780","Johnstown, PA","365","234","124","7",".",".","129","80","43",".","68","144","67","80","6"
"29540","Lancaster, PA","365","211","116","37","1",".","166","101","45",".","66","170","53","72","4"
"35260","New Castle, PA","365","264","82","19",".",".","138","80","39",".","91","143","87",".","44"
"35620","New York-Newark-Jersey City, NY-NJ-PA","365","68","231","43","23",".","195","129","66",".","35","92","8","229","1"
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","365","88","217","43","14","3","221","129","66","2","27","122","34","179","1"
"38300","Pittsburgh, PA","365","45","205","87","28",".","196","141","77",".","2","49","144","170","."
"39060","Pottsville, PA","365","352","13",".",".",".","96","36","16","49",".",".","316",".","."
"39740","Reading, PA","273","168","85","19","1",".","161","97","44",".","26","141","24","78","4"
"41260","St. Marys, PA","361","297","56","8",".",".","136","67","36",".",".","361",".",".","."
"42540","Scranton--Wilkes-Barre--Hazleton, PA","365","229","120","16",".",".","136","84","44",".","42","135","11","176","1"
"43740","Somerset, PA","341","271","64","6",".",".","122","67","36",".",".","341",".",".","."
"44300","State College, PA","365","203","145","17",".",".","140","84","48",".","3","189","3","170","."
"47620","Warren, PA","365","254","64","46","1",".","155","105","24",".",".",".","365",".","."
"48700","Williamsport, PA","358","294","51","13",".",".","143","71","33",".",".","205","144",".","9"
"49620","York-Hanover, PA","365","198","126","37","4",".","164","103","48",".","95","148","36","79","7"
"49660","Youngstown-Warren-Boardman, OH-PA","365","157","169","35","4",".","166","101","55",".",".","147","33","185","."
