"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"15980","Cape Coral-Fort Myers, FL","365","299","64","2",".",".","122","64","38",".",".","326",".","34","5"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","365","309","53","2","1",".","181","55","40",".",".","317",".","46","2"
"23540","Gainesville, FL","365","287","67","10","1",".","154","71","40",".",".","301",".","60","4"
"26140","Homosassa Springs, FL","121","102","19",".",".",".","86","56","35",".",".",".",".","121","."
"27260","Jacksonville, FL","365","182","160","16","7",".","168","90","51",".","1","162","50","152","."
"29380","Lake City, FL","365","225","131","8","1",".","159","72","47",".",".","188",".","177","."
"29460","Lakeland-Winter Haven, FL","365","251","102","12",".",".","150","72","43",".",".","215",".","148","2"
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","365","209","143","10","3",".","153","77","48",".","7","104","10","238","6"
"34940","Naples-Immokalee-Marco Island, FL","364","270","92","2",".",".","137","67","40",".",".","197",".","167","."
"35840","North Port-Sarasota-Bradenton, FL","365","275","80","10",".",".","147","74","41","4",".","307","2","41","11"
"36100","Ocala, FL","365","291","67","5","2",".","164","61","40",".",".","290",".","75","."
"36740","Orlando-Kissimmee-Sanford, FL","365","218","129","16","2",".","166","77","46",".",".","184",".","181","."
"37260","Palatka, FL","356","347","9",".",".",".","85","35","19",".",".",".","80",".","276"
"37340","Palm Bay-Melbourne-Titusville, FL","365","257","104","3","1",".","156","67","42",".",".","232","5","128","."
"37460","Panama City, FL","364","260","93","11",".",".","136","77","42",".",".","302",".","53","9"
"37860","Pensacola-Ferry Pass-Brent, FL","365","165","170","28","2",".","174","96","52",".",".","163","36","166","."
"38940","Port St. Lucie, FL","363","275","87","1",".",".","104","59","38",".",".","125",".","238","."
"42680","Sebastian-Vero Beach, FL","310","256","52","2",".",".","115","65.5","38",".",".","310",".",".","."
"42700","Sebring, FL","357","300","54","3",".",".","122","61","36",".",".","357",".",".","."
"45220","Tallahassee, FL","365","148","194","15","7","1","326","87","54",".",".","85",".","280","."
"45300","Tampa-St. Petersburg-Clearwater, FL","365","115","194","49","6","1","247","108","60",".",".","105","107","150","3"
