"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14540","Bowling Green, KY","365","281","83","1",".",".","105","61","41",".",".","236",".","129","."
"17140","Cincinnati, OH-KY-IN","365","85","263","17",".",".","129","85","60",".",".","55","40","266","4"
"17300","Clarksville, TN-KY","365","262","102","1",".",".","115","61","43",".",".","192","7","166","."
"21060","Elizabethtown-Fort Knox, KY","364","251","113",".",".",".","90","61","44",".",".","101",".","263","."
"21780","Evansville, IN-KY","365","192","168","5",".",".","112","72","50","3",".","135","16","211","."
"26580","Huntington-Ashland, WV-KY-OH","365","237","125","3",".",".","119","64","45",".","5","104","5","245","6"
"30460","Lexington-Fayette, KY","365","250","115",".",".",".","81","60","43",".","19","113","2","229","2"
"31140","Louisville/Jefferson County, KY-IN","365","145","216","4",".",".","109","76","54",".","2","82","11","270","."
"33180","Middlesborough, KY","264","239","25",".",".",".","80","50","39",".",".","221",".","43","."
"36980","Owensboro, KY","365","263","100","2",".",".","110","64","42",".","20","164","17","164","."
"37140","Paducah, KY-IL","365","281","83","1",".",".","108","60","39",".","25","179","5","154","2"
"40080","Richmond-Berea, KY","114","96","18",".",".",".","68","53","33",".",".",".",".","114","."
"43700","Somerset, KY","285","252","33",".",".",".","80","51","40",".",".","205",".","80","."
