"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14020","Bloomington, IN","183","80","74","27","2",".","161","115","54",".",".","183",".",".","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","19","275","61","9","1","203","116","77",".","101","69","66","121","8"
"17140","Cincinnati, OH-KY-IN","365","82","202","69","12",".","197","133","64",".","3","138","83","141","."
"21140","Elkhart-Goshen, IN","312","141","152","17","2",".","159","93","53",".",".","118",".","194","."
"21780","Evansville, IN-KY","365","88","183","84","10",".","172","123","66",".",".","95","135","135","."
"23060","Fort Wayne, IN","365","149","196","19","1",".","151","90","55","1",".","109",".","240","15"
"26540","Huntington, IN","182","112","59","11",".",".","140","90","46",".",".","182",".",".","."
"26900","Indianapolis-Carmel-Anderson, IN","365","66","218","73","8",".","174","122","69",".","1","94","91","179","."
"27540","Jasper, IN","365","122","200","40","3",".","163","106","58",".",".",".","105","260","."
"29020","Kokomo, IN","109","53","55","1",".",".","111","74","51",".",".",".",".","109","."
"29200","Lafayette-West Lafayette, IN","364","149","201","14",".",".","150","84","54",".",".","68",".","296","."
"31140","Louisville/Jefferson County, KY-IN","365","61","190","92","22",".","198","133","74",".","2","86","130","147","."
"33140","Michigan City-La Porte, IN","365","210","139","16",".",".","150","80","47",".",".","115","26","224","."
"34620","Muncie, IN","333","137","177","18","1",".","154","93","54",".",".","120",".","213","."
"35220","New Castle, IN","113","49","63","1",".",".","103","72","52",".",".",".",".","113","."
"39980","Richmond, IN","365","251","78","36",".",".","133","100","24",".",".",".","365",".","."
"42980","Seymour, IN","183","100","62","21",".",".","143","101","49",".",".","183",".",".","."
"43780","South Bend-Mishawaka, IN-MI","365","171","175","16","3",".","151","93","52",".","7","134",".","224","."
"45460","Terre Haute, IN","365","118","213","33","1",".","154","97","56",".",".","61","83","221","."
"47180","Vincennes, IN","363","241","97","25",".",".","150","90","44",".",".","297",".","66","."
"47340","Wabash, IN","356","273","62","21",".",".","147","87","38",".",".","356",".",".","."
"47780","Washington, IN","333","261","55","17",".",".","147","79","14",".",".",".","333",".","."
