"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","342","280","60","2",".",".","115","58","41",".",".","342",".",".","."
"16820","Charlottesville, VA","366","296","68","2",".",".","119","61","38",".",".","170",".","196","."
"25500","Harrisonburg, VA","353","278","73","2",".",".","115","61","35",".","106","170","7","70","."
"28700","Kingsport-Bristol-Bristol, TN-VA","366","204","107","51","4",".","190","107","48","1","51","164","126","24","."
"31340","Lynchburg, VA","115","102","13",".",".",".","65","52","30",".",".",".",".","115","."
"40060","Richmond, VA","366","257","90","15","4",".","179","74","44",".","47","188","3","128","."
"40220","Roanoke, VA","366","261","102","3",".",".","122","65","43",".","11","156",".","199","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","366","269","90","6","1",".","190","69","42",".","12","170","21","163","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","366","101","229","27","7","2","206","100","58",".","17","152",".","197","."
"49020","Winchester, VA-WV","361","254","104","3",".",".","119","67","43",".",".","163",".","198","."
