"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13900","Bismarck, ND","365","333","31","1",".",".","103","50","35",".","13","273","41","37","1"
"19860","Dickinson, ND","363","337","26",".",".",".","97","48","35",".",".","346","5","12","."
"22020","Fargo, ND-MN","364","336","25","1","2",".","166","49","32",".","21","248",".","73","22"
"48780","Williston, ND","362","347","14","1",".",".","135","39","9",".",".",".","362",".","."
