"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"16180","Carson City, NV","365","308","57",".",".",".","97","58","41",".",".","298",".","67","."
"21220","Elko, NV","365","363","2",".",".",".","61","27","14",".",".",".",".","17","348"
"21980","Fallon, NV","353","323","30",".",".",".","80","50","41",".",".","353",".",".","."
"22280","Fernley, NV","356","344","12",".",".",".","71","47","38",".",".","343",".",".","13"
"23820","Gardnerville Ranchos, NV","356","346","10",".",".",".","62","40","13",".",".",".",".","356","."
"29820","Las Vegas-Henderson-Paradise, NV","365","154","206","5",".",".","122","87","54","1","18","252",".","86","8"
"37220","Pahrump, NV","365","352","12","1",".",".","146","31","15",".",".",".",".",".","365"
"39900","Reno, NV","365","244","121",".",".",".","97","64","46",".","3","295",".","63","4"
