"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14020","Bloomington, IN","360","266","93","1",".",".","122","61","42",".",".","129",".","231","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","82","263","19","1",".","186","89","60",".","28","81","27","207","22"
"17140","Cincinnati, OH-KY-IN","365","85","263","17",".",".","129","85","60",".",".","55","40","266","4"
"18020","Columbus, IN","214","175","39",".",".",".","93","67","35",".","72","122","20",".","."
"21140","Elkhart-Goshen, IN","350","198","149","3",".",".","126","66","47",".",".","82",".","268","."
"21780","Evansville, IN-KY","365","192","168","5",".",".","112","72","50","3",".","135","16","211","."
"23060","Fort Wayne, IN","365","209","155","1",".",".","104","68","48","4",".","95","1","265","."
"26540","Huntington, IN","183","177","6",".",".",".","77","46","36",".",".","183",".",".","."
"26900","Indianapolis-Carmel-Anderson, IN","365","102","248","15",".",".","124","86","60",".","1","72","68","224","."
"27540","Jasper, IN","365","276","69","18","2",".","195","73","11",".",".",".","265","100","."
"29200","Lafayette-West Lafayette, IN","365","167","198",".",".",".","99","72","52",".",".","54",".","311","."
"31140","Louisville/Jefferson County, KY-IN","365","145","216","4",".",".","109","76","54",".","2","82","11","270","."
"33140","Michigan City-La Porte, IN","364","288","74","2",".",".","126","64","34",".",".","171","124","69","."
"34620","Muncie, IN","239","197","42",".",".",".","87","57","39",".",".","149",".","90","."
"35220","New Castle, IN","120","85","35",".",".",".","85","58.5","36.5",".",".",".",".","120","."
"39980","Richmond, IN","363","363",".",".",".",".","39","11","6",".",".",".","363",".","."
"42980","Seymour, IN","183","158","24","1",".",".","105","58","43",".",".","183",".",".","."
"43780","South Bend-Mishawaka, IN-MI","361","167","188","5","1",".","154","74","52",".","15","73",".","273","."
"45460","Terre Haute, IN","365","179","171","15",".",".","135","81","51",".",".","87","68","210","."
"47180","Vincennes, IN","350","318","32",".",".",".","90","49.5","35.5",".",".","350",".",".","."
"47340","Wabash, IN","353","309","42","2",".",".","105","54","35",".",".","353",".",".","."
"47780","Washington, IN","342","307","17","17","1",".","158","51","7",".",".",".","342",".","."
