"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13540","Bennington, VT","362","326","36",".",".",".","90","50","36",".",".","263",".","99","."
"13620","Berlin, NH-VT","365","315","50",".",".",".","97","54","43",".",".","363",".","2","."
"15540","Burlington-South Burlington, VT","365","321","44",".",".",".","83","53","37",".","2","247",".","116","."
"17200","Claremont-Lebanon, NH-VT","365","324","40","1",".",".","101","51","36",".",".","252",".","113","."
"40860","Rutland, VT","365","275","87","3",".",".","114","65","30","1","43",".","2","319","."
