"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11620","Ardmore, OK","274","193","74","7",".",".","122","77","45",".",".","274",".",".","."
"22900","Fort Smith, AR-OK","365","286","79",".",".",".","93","64","39",".","5","211",".","84","65"
"30020","Lawton, OK","366","280","81","5",".",".","133","74","41",".",".","345",".","21","."
"32540","McAlester, OK","366","294","72",".",".",".","97","61","38",".",".","327",".","39","."
"33060","Miami, OK","364","242","122",".",".",".","97","64","43.5",".",".","153",".","203","8"
"34780","Muskogee, OK","366","295","69","2",".",".","107","62","28",".",".",".","67","93","206"
"36420","Oklahoma City, OK","366","229","127","10",".",".","147","77","45",".","35","269",".","61","1"
"38620","Ponca City, OK","366","271","92","2","1",".","159","64","40",".",".","181","58","46","81"
"45140","Tahlequah, OK","366","306","59","1",".",".","108","61","37",".","52","283","1",".","30"
"46140","Tulsa, OK","366","130","219","15","2",".","187","87","57.5",".","1","127","111","125","2"
