"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10540","Albany, OR","366","333","33",".",".",".","78","50","19",".",".",".",".","366","."
"13460","Bend-Redmond, OR","327","322","5",".",".",".","61","37","22",".",".",".",".","327","."
"18700","Corvallis, OR","194","185","9",".",".",".","64","38","15",".",".",".",".","194","."
"21660","Eugene, OR","366","299","66","1",".",".","108","58","34",".",".","139",".","225","2"
"24420","Grants Pass, OR","366","318","48",".",".",".","86","53","28",".",".",".",".","366","."
"25840","Hermiston-Pendleton, OR","366","321","44","1",".",".","112","52","31",".",".","136",".","230","."
"28900","Klamath Falls, OR","363","290","73",".",".",".","91","63","30",".",".",".",".","363","."
"29260","La Grande, OR","364","329","35",".",".",".","99","48","18",".",".",".",".","359","5"
"32780","Medford, OR","366","306","60",".",".",".","81","55","35",".",".","111",".","255","."
"38900","Portland-Vancouver-Hillsboro, OR-WA","366","300","64","2",".",".","108","59","35",".","11","224",".","131","."
"39260","Prineville, OR","348","285","62","1",".",".","115","57","20",".",".",".",".","348","."
"40700","Roseburg, OR","339","325","14",".",".",".","65","38","17",".",".",".",".","339","."
"41420","Salem, OR","361","325","36",".",".",".","97","50","30",".",".","147",".","214","."
"45520","The Dalles, OR","358","322","36",".",".",".","77","51","32",".",".","151",".","207","."
