"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11700","Asheville, NC","365","234","101","24","6",".","199","90","46",".",".","172","100","93","."
"16740","Charlotte-Concord-Gastonia, NC-SC","364","229","125","10",".",".","122","74","45",".","1","216",".","146","1"
"19000","Cullowhee, NC","237","191","45","1",".",".","108","67","41",".",".","162",".","75","."
"20500","Durham-Chapel Hill, NC","359","268","91",".",".",".","100","59","43",".",".","161","2","195","1"
"22180","Fayetteville, NC","349","284","65",".",".",".","100","57","38",".",".","188",".","154","7"
"24660","Greensboro-High Point, NC","357","277","79","1",".",".","105","64","41",".",".","220",".","121","16"
"24780","Greenville, NC","345","306","39",".",".",".","87","51","35",".",".","183",".","162","."
"25860","Hickory-Lenoir-Morganton, NC","365","278","87",".",".",".","100","61","40",".",".","180",".","185","."
"28820","Kinston, NC","278","249","28","1",".",".","108","51","36",".",".","222",".",".","56"
"33980","Morehead City, NC","222","202","20",".",".",".","77","49","38",".",".","222",".",".","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","354","314","39","1",".",".","116","54","34",".",".","264","90",".","."
"37080","Oxford, NC","233","193","40",".",".",".","93","61","42",".",".","233",".",".","."
"39580","Raleigh, NC","361","240","121",".",".",".","90","63","45","1",".","136",".","224","."
"40580","Rocky Mount, NC","354","321","33",".",".",".","80","50","33",".",".","183",".","171","."
"41820","Sanford, NC","210","145","65",".",".",".","83","58.5","45",".",".","120",".","90","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","321","44",".",".",".","97","52","36",".","30","216","2","117","."
"47820","Washington, NC","299","299",".",".",".",".","30","10","0",".",".",".","299",".","."
"48900","Wilmington, NC","329","308","21",".",".",".","77","48","30",".",".","201",".","128","."
"49180","Winston-Salem, NC","365","234","129","2",".",".","101","67","44",".","1","172",".","192","."
