"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","151","190","23","1",".","165","90","54",".","1","255",".","55","54"
"16100","Carlsbad-Artesia, NM","365","214","131","17","3",".","185","90","47",".","6","355",".","4","."
"19700","Deming, NM","357","343","11","3",".",".","137","32","16",".",".",".",".",".","357"
"21580","Espa¤ola, NM","362","246","113","3",".",".","126","77","46",".",".","360",".","2","."
"22140","Farmington, NM","365","213","136","16",".",".","129","93","47",".","2","361",".",".","2"
"26020","Hobbs, NM","365","227","132","6",".",".","143","80","45",".","2","296",".","67","."
"29740","Las Cruces, NM","365","144","189","28","4",".","187","100","57",".","3","252",".","52","58"
"31060","Los Alamos, NM","120","120",".",".",".",".","33","22.5","10",".",".",".",".","120","."
"40740","Roswell, NM","118","115","3",".",".",".","57","40","20.5",".",".",".",".","118","."
"40760","Ruidoso, NM","116","115","1",".",".",".","52","23","11",".",".",".",".","116","."
"42140","Santa Fe, NM","365","279","83","3",".",".","122","67","44",".",".","353",".","12","."
"45340","Taos, NM","365","346","19",".",".",".","66","41","23",".",".",".",".","365","."
