"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"12700","Barnstable Town, MA","258","228","23","6","1",".","156","54","36",".",".","207",".","51","."
"14460","Boston-Cambridge-Newton, MA-NH","366","217","136","11","2",".","164","74","47",".","11","139","2","213","1"
"38340","Pittsfield, MA","348","229","112","7",".",".","112","73","44",".",".","124",".","224","."
"39300","Providence-Warwick, RI-MA","366","223","123","17","3",".","179","77","46.5",".","3","191","22","150","."
"44140","Springfield, MA","366","233","118","15",".",".","147","74","44",".","7","180",".","179","."
"47240","Vineyard Haven, MA","252","214","26","10","2",".","187","64","37",".",".","206",".","46","."
"49340","Worcester, MA-CT","366","270","86","9","1",".","166","66","41",".","17","227",".","121","1"
