"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","365","342","23",".",".",".","68","40","20",".",".",".",".","365","."
"13380","Bellingham, WA","339","302","37",".",".",".","79","52","31",".",".","79",".","260","."
"14740","Bremerton-Silverdale, WA","362","354","8",".",".",".","70","34","17",".",".",".",".","362","."
"16500","Centralia, WA","365","342","23",".",".",".","75","45","23",".",".",".",".","365","."
"21260","Ellensburg, WA","323","290","32",".","1",".","165","51","15",".",".",".",".","323","."
"28420","Kennewick-Richland, WA","364","332","31","1",".",".","131","47","22",".",".",".",".","285","79"
"30300","Lewiston, ID-WA","290","250","37","3",".",".","128","56","25",".",".",".",".","290","."
"31020","Longview, WA","323","309","14",".",".",".","84","42","21",".",".",".",".","323","."
"34180","Moses Lake, WA","365","337","27","1",".",".","118","46","20",".",".",".",".","365","."
"34580","Mount Vernon-Anacortes, WA","365","352","13",".",".",".","74","43","32",".","1","233",".","131","."
"36500","Olympia-Tumwater, WA","363","319","44",".",".",".","94","54","29",".",".","131",".","232","."
"36830","Othello, WA","346","335","11",".",".",".","73","33","15",".",".",".",".","346","."
"38820","Port Angeles, WA","365","320","44","1",".",".","101","52","38",".",".","213",".","152","."
"38900","Portland-Vancouver-Hillsboro, OR-WA","365","277","80","7","1",".","153","67","38",".","6","178",".","181","."
"39420","Pullman, WA","363","342","21",".",".",".","95","40","19",".",".",".",".","363","."
"42660","Seattle-Tacoma-Bellevue, WA","365","233","125","7",".",".","150","78","45",".","60","150",".","155","."
"43220","Shelton, WA","365","343","22",".",".",".","77","42","20",".",".",".",".","365","."
"44060","Spokane-Spokane Valley, WA","365","225","135","4","1",".","154","69","44",".",".","115",".","210","40"
"47460","Walla Walla, WA","361","336","25",".",".",".","72","43","18",".",".",".",".","361","."
"48300","Wenatchee, WA","362","275","79","6","2",".","153","64","25",".",".",".",".","362","."
"49420","Yakima, WA","365","270","86","7","2",".","156","67","30",".",".",".",".","364","1"
