"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","362","315","47",".",".",".","81","55","24",".",".",".",".","362","."
"13380","Bellingham, WA","347","311","36",".",".",".","81","52","24",".",".",".",".","347","."
"14740","Bremerton-Silverdale, WA","361","299","61","1",".",".","102","59","24",".",".",".",".","361","."
"16500","Centralia, WA","116","116",".",".",".",".","26","14","4",".",".",".",".","116","."
"21260","Ellensburg, WA","347","308","39",".",".",".","87","52","27",".",".",".",".","347","."
"28420","Kennewick-Richland, WA","365","299","65","1",".",".","119","60","26",".",".",".",".","299","66"
"30300","Lewiston, ID-WA","362","286","74","2",".",".","112","63","31",".",".",".",".","351","11"
"31020","Longview, WA","336","296","40",".",".",".","78","54","18",".",".",".",".","336","."
"34180","Moses Lake, WA","357","314","43",".",".",".","87","52","23",".",".",".",".","357","."
"34580","Mount Vernon-Anacortes, WA","365","348","13","3","1",".","163","44","31",".","11","250","5","99","."
"36500","Olympia-Tumwater, WA","360","295","60","5",".",".","115","64","30",".",".","138",".","222","."
"36830","Othello, WA","365","338","27",".",".",".","72","47","21",".",".",".",".","365","."
"38820","Port Angeles, WA","363","290","71","2",".",".","105","59","38",".",".","221",".","142","."
"38900","Portland-Vancouver-Hillsboro, OR-WA","365","247","96","20","2",".","156","84","39",".","1","119",".","245","."
"39420","Pullman, WA","365","341","24",".",".",".","74","44","21",".",".",".",".","365","."
"42660","Seattle-Tacoma-Bellevue, WA","365","217","122","21","5",".","159","93","46",".",".","141","1","223","."
"43220","Shelton, WA","365","315","48","2",".",".","133","55","23",".",".",".",".","365","."
"44060","Spokane-Spokane Valley, WA","365","212","151","2",".",".","105","73","46","1",".","110",".","228","26"
"47460","Walla Walla, WA","365","296","68","1",".",".","108","62","26",".",".",".",".","267","98"
"48300","Wenatchee, WA","365","267","98",".",".",".","96","67","31",".",".",".",".","365","."
"49420","Yakima, WA","365","240","118","7",".",".","130","75","38",".",".",".",".","364","1"
