"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","366","146","200","16","4",".","172","87","53",".",".","139","7","217","3"
"17980","Columbus, GA-AL","366","239","124","3",".",".","104","69","44",".",".","134",".","231","1"
"19300","Daphne-Fairhope-Foley, AL","284","226","56","2",".",".","112","61","38",".",".","209",".","75","."
"19460","Decatur, AL","283","217","60","6",".",".","129","71","42",".",".","208",".","75","."
"20020","Dothan, AL","284","238","46",".",".",".","97","58","38",".",".","209",".","75","."
"22520","Florence-Muscle Shoals, AL","283","222","55","6",".",".","136","62","40",".",".","207",".","76","."
"22840","Fort Payne, AL","361","282","74","5",".",".","115","64","40",".",".","316",".","45","."
"23460","Gadsden, AL","277","229","48",".",".",".","87","55","40",".",".","190",".","87","."
"26620","Huntsville, AL","338","242","82","14",".",".","147","74","43",".",".","216",".","68","54"
"33660","Mobile, AL","284","229","52","3",".",".","126","61","37.5",".",".","218",".","63","3"
"33860","Montgomery, AL","280","206","73","1",".",".","102","62","43",".",".","195",".","85","."
"45180","Talladega-Sylacauga, AL","116","82","34",".",".",".","77","59","42",".",".",".",".","116","."
"46220","Tuscaloosa, AL","283","255","28",".",".",".","93","50","36",".",".","190",".","93","."
