"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"30860","Logan, UT-ID","365","183","154","24","4",".","164","86","50",".","5","144",".","216","."
"36260","Ogden-Clearfield, UT","365","153","189","21","2",".","153","93","53","1","50","160",".","148","6"
"39340","Provo-Orem, UT","365","199","144","17","5",".","164","90","49",".","46","195",".","118","6"
"41100","St. George, UT","354","243","108","3",".",".","126","67","46",".",".","343",".","11","."
"41620","Salt Lake City, UT","365","144","182","33","6",".","190","101","55",".","21","138","9","183","14"
"46860","Vernal, UT","254","177","75","1","1",".","190","67","47",".",".","242",".","12","."
