"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11100","Amarillo, TX","365","224","112","28","1",".","161","93","47",".",".","276","68","21","."
"12420","Austin-Round Rock, TX","365","239","117","9",".",".","115","67","44",".","10","151",".","203","1"
"13140","Beaumont-Port Arthur, TX","365","195","152","17","1",".","154","82","49",".",".","129","37","199","."
"13700","Big Spring, TX","362","314","39","8","1",".","200","55","7",".",".",".","362",".","."
"14420","Borger, TX","358","222","50","78","8",".","168","126","20",".",".",".","358",".","."
"15180","Brownsville-Harlingen, TX","365","246","119",".",".",".","99","64","41",".",".","119",".","246","."
"17780","College Station-Bryan, TX","332","332",".",".",".",".","26","4","0",".",".",".","332",".","."
"18580","Corpus Christi, TX","365","284","81",".",".",".","99","63","38",".",".","161",".","204","."
"18620","Corsicana, TX","365","254","98","11","2",".","200","80","40",".","4","206","66","89","."
"19100","Dallas-Fort Worth-Arlington, TX","365","186","143","27","9",".","166","100","50",".","8","180",".","177","."
"20580","Eagle Pass, TX","342","292","50",".",".",".","100","54","28",".",".",".",".","342","."
"21340","El Paso, TX","365","133","215","15","2",".","164","84","55",".","23","187",".","153","2"
"26420","Houston-The Woodlands-Sugar Land, TX","365","166","164","26","7","2","204","97","51",".","23","150","3","186","3"
"28660","Killeen-Temple, TX","365","320","40","5",".",".","136","54","36",".",".","365",".",".","."
"28780","Kingsville, TX","342","243","95","3","1",".","160","65","35",".",".",".",".","342","."
"29700","Laredo, TX","313","237","74","2",".",".","107","64","39",".",".","142",".","170","1"
"30980","Longview, TX","365","290","63","12",".",".","140","67","37",".","2","275","88",".","."
"31180","Lubbock, TX","303","275","27","1",".",".","134","49","25",".",".",".",".","303","."
"32220","Marshall, TX","365","301","63","1",".",".","111","56","36",".","1","181","22","161","."
"32580","McAllen-Edinburg-Mission, TX","363","238","121","4",".",".","115","67","41",".",".","106",".","257","."
"34420","Mount Pleasant, TX","353","353",".",".",".",".","50","9","0",".",".",".","353",".","."
"36220","Odessa, TX","337","296","41",".",".",".","91","53","30",".",".",".",".","337","."
"41700","San Antonio-New Braunfels, TX","365","251","103","10","1",".","162","70","43",".","6","194","2","162","1"
"45500","Texarkana, TX-AR","297","246","50","1",".",".","106","56","35",".",".",".",".","297","."
"46340","Tyler, TX","364","324","38","2",".",".","112","54","33",".","3","361",".",".","."
"47020","Victoria, TX","279","270","7","2",".",".","112","38","28",".",".","279",".",".","."
"47380","Waco, TX","312","268","44",".",".",".","98","55","35","1",".","262",".","49","."
